UMAP1,UMAP2,temp
16.012192,5.757842,50.0
16.286858,5.089903,50.5
16.147434,6.6345167,51.0
16.523157,5.5526066,51.5
16.349503,6.470609,52.0
16.224337,5.8399196,52.5
15.245566,5.771571,53.0
15.062747,4.9652576,53.5
15.394877,5.8774242,54.0
14.980349,5.7130337,54.5
15.838824,6.2207017,55.0
16.383808,6.5818825,55.5
16.111094,5.77478,56.0
16.504269,6.686364,56.5
15.732852,6.59256,57.0
15.354494,6.603949,57.5
15.730282,6.771743,58.0
16.406723,5.948397,58.5
16.772398,5.6070275,59.0
16.147041,6.037617,59.5
15.159294,6.2629337,60.0
15.964748,4.5845037,60.5
15.22318,4.766577,61.0
15.136913,4.607741,61.5
15.349704,6.1300178,62.0
14.8109255,6.135035,62.5
14.981497,5.173447,63.0
15.131528,4.6490636,63.5
14.74097,5.3770075,64.0
14.616649,5.1894813,64.5
15.3886175,5.1197705,65.0
14.587293,5.0247364,65.5
15.141361,5.862597,66.0
16.64545,6.20054,66.5
16.237926,6.83991,67.0
16.793648,5.7144756,67.5
14.891343,5.7099137,68.0
14.858583,5.2714295,68.5
14.924602,6.043563,69.0
15.576378,6.6734724,69.5
15.585812,6.2121,70.0
14.957321,6.683215,70.5
14.744905,5.768726,71.0
16.405886,5.875177,71.5
14.875563,5.7925973,72.0
14.637442,5.2936354,72.5
15.177673,6.8319573,73.0
16.200945,4.807522,73.5
14.820714,5.5668397,74.0
15.674994,4.7800145,74.5
14.746314,4.7179418,75.0
15.10873,6.5752354,75.5
16.555857,5.505143,76.0
15.421826,4.6399693,76.5
15.983329,7.0088067,77.0
16.030375,6.194453,77.5
15.567212,6.2929068,78.0
16.439125,5.721761,78.5
16.22946,6.440016,79.0
16.592045,5.449067,79.5
16.773636,5.515833,80.0
15.7903,4.9742317,80.5
16.8154,5.7377443,81.0
15.646038,4.4831276,81.5
15.832007,6.014077,82.0
16.641079,6.249717,82.5
15.7354355,7.028324,83.0
14.684106,6.1960726,83.5
15.782908,6.3478065,84.0
16.752954,6.1496434,84.5
15.946577,5.9103518,85.0
15.753446,6.4749374,85.5
16.079626,6.9864397,86.0
15.332653,6.402457,86.5
16.32879,6.3440695,87.0
15.371539,6.628077,87.5
16.253914,6.0735383,88.0
15.993124,6.422844,88.5
15.525119,6.3986645,89.0
15.064775,5.6389585,89.5
14.81539,5.5237536,90.0
15.57525,5.781254,90.5
15.923632,5.942395,91.0
15.639781,4.794726,91.5
15.22025,5.9561486,92.0
14.939575,4.922774,92.5
14.708894,5.5167055,93.0
15.255218,4.727709,93.5
15.458172,4.906212,94.0
15.33587,6.2216916,94.5
14.848048,4.856005,95.0
16.299368,5.818649,95.5
15.048775,4.969515,96.0
14.854488,5.427339,96.5
15.092357,5.2195387,97.0
15.825226,5.768139,97.5
15.31446,5.495465,98.0
16.071411,6.284659,98.5
16.189154,6.348482,99.0
16.246899,6.098019,99.5
15.9698,6.262703,100.0
16.274878,5.4391546,100.5
16.404068,5.9021654,101.0
14.810165,5.003249,101.5
15.971846,6.244583,102.0
15.930339,6.81741,102.5
15.981889,5.5794487,103.0
15.708342,6.3515496,103.5
15.467336,5.2356176,104.0
16.090195,5.960104,104.5
14.993837,4.743491,105.0
16.39512,5.399469,105.5
15.795182,5.783795,106.0
15.616663,5.389733,106.5
16.375694,6.823241,107.0
16.165,5.191589,107.5
15.048659,5.1623907,108.0
16.491564,6.41197,108.5
16.767496,5.8880434,109.0
15.219015,5.013466,109.5
15.468463,5.0004597,110.0
16.110365,6.005457,110.5
15.972549,6.077385,111.0
15.311508,4.702954,111.5
15.51587,5.1755786,112.0
15.808609,7.012475,112.5
16.16195,5.1062636,113.0
16.332724,5.738331,113.5
16.483112,5.742161,114.0
16.682453,5.656945,114.5
14.969408,4.8156633,115.0
16.654095,6.036139,115.5
16.453638,6.615103,116.0
15.982779,5.587008,116.5
15.976744,4.0991836,117.0
15.276896,5.477939,117.5
15.541848,4.672688,118.0
15.4524145,4.284921,118.5
15.764483,4.129585,119.0
15.697036,4.075997,119.5
15.879273,4.1716986,120.0
15.709343,4.10556,120.5
15.827541,4.208487,121.0
15.653594,4.3465805,121.5
15.972399,4.3156056,122.0
15.578863,4.3840885,122.5
15.751318,4.3534346,123.0
15.811884,4.3143625,123.5
15.892721,4.227709,124.0
16.047012,5.3748593,124.5
14.582351,5.0777493,125.0
15.832976,4.236375,125.5
15.905376,4.232247,126.0
16.128805,4.3881984,126.5
15.692623,4.09477,127.0
15.646416,4.313107,127.5
15.381021,4.417737,128.0
15.838108,4.059801,128.5
15.488927,4.1979585,129.0
15.645719,4.1628976,129.5
-2.8651474,21.93856,130.0
-3.05255,21.95248,130.5
-3.0741553,21.813341,131.0
-2.8185458,21.98637,131.5
-2.795553,21.80478,132.0
-2.8256023,21.628246,132.5
-2.7313254,21.727543,133.0
-2.837185,21.301311,133.5
-2.8643763,21.650795,134.0
-2.6599689,21.75431,134.5
-2.8967125,21.636171,135.0
-2.9417014,21.741322,135.5
-2.5920722,21.712103,136.0
-2.972127,21.757345,136.5
-3.0498984,22.001562,137.0
-2.9137027,21.6908,137.5
-2.9634614,22.040724,138.0
-2.9413385,22.124868,138.5
-2.7645776,21.788128,139.0
-3.078905,21.926434,139.5
-2.8236372,21.682695,140.0
-2.618962,21.893385,140.5
-2.6917174,21.744785,141.0
-2.750632,21.687628,141.5
-2.8382666,21.268452,142.0
-2.878413,21.369663,142.5
-2.93384,21.368713,143.0
-3.0172594,21.621643,143.5
-2.9531856,21.311354,144.0
-2.847076,21.222195,144.5
-2.7582555,21.199532,145.0
-2.8833036,21.424953,145.5
-3.092064,21.615177,146.0
-3.072316,21.398123,146.5
-2.656347,21.138609,147.0
-3.1376252,21.496216,147.5
-3.0389876,21.532776,148.0
-2.5336764,21.58473,148.5
-2.4847782,21.647839,149.0
-2.7146175,21.598125,149.5
-2.4318144,21.203716,150.0
-2.3761241,21.306477,150.5
-2.525233,21.473803,151.0
-2.4787118,21.169838,151.5
-2.466439,21.771091,152.0
-2.389692,21.251467,152.5
-2.404595,21.168318,153.0
-2.450631,21.032013,153.5
-2.4833286,20.973454,154.0
-2.4237027,21.434328,154.5
-2.5450203,20.990852,155.0
-2.586091,20.957115,155.5
-2.515199,21.011305,156.0
-2.5123906,20.952002,156.5
-2.4559276,21.175995,157.0
-2.5404234,20.960722,157.5
-2.4931595,20.99909,158.0
-2.5170074,20.944658,158.5
-2.5377896,21.192062,159.0
-2.5314856,21.550251,159.5
-3.2482502,22.428474,160.0
-3.2831116,22.417992,160.5
-3.469156,22.596008,161.0
-3.2150042,22.3675,161.5
-3.320392,22.409142,162.0
-3.4940329,22.587404,162.5
-3.3256512,22.458181,163.0
-3.3282108,22.453314,163.5
-3.2661486,22.447517,164.0
-3.5382617,22.590845,164.5
-3.57929,22.682169,165.0
-3.5950046,22.66804,165.5
-4.0144134,23.002802,166.0
-3.9385407,22.975813,166.5
-3.8403902,22.721687,167.0
-3.6649215,22.646383,167.5
-3.8681479,22.888895,168.0
-3.8276172,22.827698,168.5
-3.7687483,22.774357,169.0
-4.010485,23.05062,169.5
-4.438493,23.719963,170.0
-4.332747,23.640547,170.5
-4.403394,23.7554,171.0
-4.384097,23.804838,171.5
-4.453764,23.593996,172.0
-4.1784344,23.70193,172.5
-4.1752257,23.604849,173.0
-4.3121266,23.428377,173.5
-4.359848,23.474762,174.0
-4.2672276,23.457838,174.5
-4.3062186,23.725641,175.0
-4.5153465,23.575172,175.5
-4.346782,23.47777,176.0
-4.38633,23.440804,176.5
-4.3943343,23.441908,177.0
-4.412969,23.582273,177.5
-4.3220935,23.424204,178.0
-4.517886,23.752619,178.5
-4.397063,23.417156,179.0
-4.4934325,23.56013,179.5
-4.2047253,24.050724,180.0
-4.067958,24.124763,180.5
-4.1514497,24.112371,181.0
-4.1023335,24.206152,181.5
-4.068185,24.165405,182.0
-4.096991,24.165123,182.5
-4.088514,24.198778,183.0
-4.0871935,24.184378,183.5
-4.0355253,24.218315,184.0
-4.232765,24.28031,184.5
-4.1310086,24.207361,185.0
-4.0458913,24.106295,185.5
-4.0492415,24.229273,186.0
-4.360395,23.997349,186.5
-4.302373,24.096085,187.0
-4.1811237,24.11851,187.5
-4.330081,24.432615,188.0
-4.527911,24.293749,188.5
-4.3899755,24.662045,189.0
-4.2943025,25.301825,189.5
-4.3096247,25.456976,190.0
-4.3372188,25.555597,190.5
-4.2698317,25.384382,191.0
-4.37224,25.934483,191.5
-4.296596,25.547403,192.0
-4.22833,25.585821,192.5
-4.217661,25.506296,193.0
-4.3378386,25.692123,193.5
-4.117655,25.572458,194.0
-4.2906175,25.647259,194.5
-4.268263,25.510798,195.0
-4.2036834,25.588625,195.5
-4.1028767,25.660933,196.0
-4.1658883,25.636501,196.5
-4.210677,25.71056,197.0
-4.3988543,25.6761,197.5
-4.276408,25.57364,198.0
