temp,UMAP1,UMAP2,Cluster,Grid_X,Grid_Y,State
50.0,13.960542,9.112788,0,1,0,glassy
50.5,13.835318,8.7984705,0,1,0,glassy
51.0,14.829742,8.815565,0,1,0,glassy
51.5,14.402111,8.520038,0,1,0,glassy
52.0,14.752205,8.238327,0,1,0,glassy
52.5,14.680264,8.750553,0,1,0,glassy
53.0,13.491824,7.629988,0,1,0,glassy
53.5,13.402543,7.6675963,0,1,0,glassy
54.0,13.445645,7.8355083,0,1,0,glassy
54.5,13.839344,8.21737,0,1,0,glassy
55.0,13.6420355,7.6025157,0,1,0,glassy
55.5,15.239944,8.456355,0,1,0,glassy
56.0,13.460707,7.888089,0,1,0,glassy
56.5,13.571249,8.299601,0,1,0,glassy
57.0,13.372655,8.464454,0,1,0,glassy
57.5,13.844705,8.718818,0,1,0,glassy
58.0,14.835249,8.032717,0,1,0,glassy
58.5,14.952994,8.741624,0,1,0,glassy
59.0,13.253219,8.549659,0,1,0,glassy
59.5,13.97305,7.471361,0,1,0,glassy
60.0,13.786125,8.953371,0,1,0,glassy
60.5,13.77006,8.916007,0,1,0,glassy
61.0,14.0229435,8.422627,0,1,0,glassy
61.5,13.943348,9.183284,0,1,0,glassy
62.0,14.180554,9.063827,0,1,0,glassy
62.5,13.506473,8.792769,0,1,0,glassy
63.0,14.7518835,7.6560574,0,1,0,glassy
63.5,14.733873,9.244356,0,1,0,glassy
64.0,15.1340685,7.8095646,0,1,0,glassy
64.5,13.353735,7.9702125,0,1,0,glassy
65.0,14.1256275,8.512639,0,1,0,glassy
65.5,14.003876,8.281993,0,1,0,glassy
66.0,15.051689,7.92487,0,1,0,glassy
66.5,14.456461,8.858376,0,1,0,glassy
67.0,14.180676,7.206211,0,1,0,glassy
67.5,13.37426,8.2987585,0,1,0,glassy
68.0,13.420497,8.010325,0,1,0,glassy
68.5,14.470575,8.382081,0,1,0,glassy
69.0,14.930109,7.6313567,0,1,0,glassy
69.5,14.32733,8.964353,0,1,0,glassy
70.0,13.857245,8.963627,0,1,0,glassy
70.5,14.816089,8.426385,0,1,0,glassy
71.0,14.984008,8.677271,0,1,0,glassy
71.5,13.579591,7.9666677,0,1,0,glassy
72.0,13.639187,7.4416924,0,1,0,glassy
72.5,13.474753,8.160383,0,1,0,glassy
73.0,14.764477,7.659638,0,1,0,glassy
73.5,14.508808,9.223677,0,1,0,glassy
74.0,14.887418,7.429245,0,1,0,glassy
74.5,14.2853155,6.0523105,0,1,0,glassy
75.0,14.596996,6.269715,0,1,0,glassy
75.5,13.9155,8.434109,0,1,0,glassy
76.0,14.325121,7.654276,0,1,0,glassy
76.5,14.372579,8.156531,0,1,0,glassy
77.0,14.432341,7.54702,0,1,0,glassy
77.5,13.145058,8.9286995,0,1,0,glassy
78.0,13.7297325,7.375671,0,1,0,glassy
78.5,13.603431,7.314367,0,1,0,glassy
79.0,15.0695305,7.7952766,0,1,0,glassy
79.5,13.416635,9.046943,0,1,0,glassy
80.0,14.764163,9.321769,0,1,0,glassy
80.5,14.933116,8.614293,0,1,0,glassy
81.0,14.740394,9.330605,0,1,0,glassy
81.5,14.358786,7.7869763,0,1,0,glassy
82.0,15.093699,8.754593,0,1,0,glassy
82.5,14.094645,7.9859004,0,1,0,glassy
83.0,14.504369,8.481832,0,1,0,glassy
83.5,14.179977,6.126752,0,1,0,glassy
84.0,14.203382,6.01061,0,1,0,glassy
84.5,13.791707,7.956933,0,1,0,glassy
85.0,14.321502,6.316528,0,1,0,glassy
85.5,14.567679,6.1170473,0,1,0,glassy
86.0,14.52765,8.800605,0,1,0,glassy
86.5,14.924434,7.648928,0,1,0,glassy
87.0,13.861677,9.293794,0,1,0,glassy
87.5,14.26814,8.630627,0,1,0,glassy
88.0,14.343889,8.326834,0,1,0,glassy
88.5,14.746745,8.6714,0,1,0,glassy
89.0,14.245679,7.7582207,0,1,0,glassy
89.5,14.217626,6.2568417,0,1,0,glassy
90.0,14.253332,8.851108,0,1,0,glassy
90.5,14.61289,6.59717,0,1,0,glassy
91.0,14.637191,7.8681173,0,1,0,glassy
91.5,13.96471,8.095849,0,1,0,glassy
92.0,13.492103,9.003095,0,1,0,glassy
92.5,14.428398,8.573983,0,1,0,glassy
93.0,13.782706,8.23249,0,1,0,glassy
93.5,15.44805,8.249648,0,1,0,glassy
94.0,13.998297,8.290763,0,1,0,glassy
94.5,14.724924,8.243763,0,1,0,glassy
95.0,13.583748,8.0443,0,1,0,glassy
95.5,13.911251,8.252278,0,1,0,glassy
96.0,13.321726,8.913147,0,1,0,glassy
96.5,13.152453,8.531378,0,1,0,glassy
97.0,13.281682,8.433708,0,1,0,glassy
