chain,best_n_clusters,best_silhouette_score,best_Tg
0,4,0.8911712765693665,100.0
1,2,0.7870872020721436,180.0
2,4,0.8003531694412231,190.0
3,2,0.7746133208274841,200.0
4,3,0.7264010906219482,180.0
5,4,0.6172751784324646,171.0
6,3,0.9307314157485962,190.0
7,4,0.8311073184013367,170.0
8,2,0.8847353458404541,186.5
9,4,0.5738598108291626,142.0
10,2,0.819563627243042,204.0
11,3,0.8667895793914795,170.0
12,2,0.9211470484733582,213.5
13,3,0.9409515857696533,162.5
14,4,0.8278698921203613,150.0
15,2,0.6277512907981873,180.0
16,2,0.9574352502822876,160.0
17,2,0.7381421327590942,239.0
18,2,0.8627831339836121,290.0
19,2,0.7150903344154358,139.0
20,4,0.8739121556282043,180.0
21,2,0.9384468793869019,140.0
22,3,0.8606013655662537,200.0
23,2,0.8273796439170837,250.0
24,4,0.8839638233184814,160.0
