chain,n_clusters,silhouette_score
0,2,0.6409080624580383
0,3,0.6029941439628601
0,4,0.5727660655975342
0,5,0.5831411480903625
0,6,0.5043066143989563
0,7,0.48983123898506165
0,8,0.4931657016277313
0,9,0.4302288293838501
0,10,0.430976003408432
1,2,0.5938244462013245
1,3,0.6150511503219604
1,4,0.6265267133712769
1,5,0.5713388323783875
1,6,0.5911144018173218
1,7,0.43854328989982605
1,8,0.45330819487571716
1,9,0.4521179795265198
1,10,0.42871764302253723
2,2,0.8075586557388306
2,3,0.7936936616897583
2,4,0.7904340624809265
2,5,0.6169654726982117
2,6,0.6178964376449585
2,7,0.6072149276733398
2,8,0.6002236604690552
2,9,0.6078289151191711
2,10,0.5540943145751953
3,2,0.8334227800369263
3,3,0.48057690262794495
3,4,0.5725060701370239
3,5,0.5392924547195435
3,6,0.5201007723808289
3,7,0.5539287328720093
3,8,0.5639491677284241
3,9,0.5354629755020142
3,10,0.5282748937606812
4,2,0.8680799603462219
4,3,0.824859082698822
4,4,0.6156359910964966
4,5,0.5836269855499268
4,6,0.5902898907661438
4,7,0.5928834676742554
4,8,0.604758620262146
4,9,0.5983121991157532
4,10,0.6270413994789124
5,2,0.8404592871665955
5,3,0.6099984645843506
5,4,0.6447517275810242
5,5,0.5949269533157349
5,6,0.5250860452651978
5,7,0.44873306155204773
5,8,0.4268868863582611
5,9,0.40304744243621826
5,10,0.4114987552165985
6,2,0.5846405029296875
6,3,0.6151044964790344
6,4,0.6009824872016907
6,5,0.569027304649353
6,6,0.5259808301925659
6,7,0.5625478029251099
6,8,0.5041154623031616
6,9,0.5116925239562988
6,10,0.5286109447479248
7,2,0.6171283721923828
7,3,0.4881872236728668
7,4,0.4844153821468353
7,5,0.4930782914161682
7,6,0.4020414650440216
7,7,0.4089782238006592
7,8,0.4258958399295807
7,9,0.4266810417175293
7,10,0.4329952299594879
8,2,0.8526946306228638
8,3,0.779330313205719
8,4,0.7793824076652527
8,5,0.5111255645751953
8,6,0.5211588740348816
8,7,0.44977203011512756
8,8,0.46895474195480347
8,9,0.4714374244213104
8,10,0.48685646057128906
9,2,0.5525307059288025
9,3,0.6027626991271973
9,4,0.5268632769584656
9,5,0.5468107461929321
9,6,0.5319919586181641
9,7,0.5156641006469727
9,8,0.48796364665031433
9,9,0.49553605914115906
9,10,0.4753575325012207
10,2,0.6614478230476379
10,3,0.6958835124969482
10,4,0.650725781917572
10,5,0.5764727592468262
10,6,0.46125492453575134
10,7,0.46712955832481384
10,8,0.4777161777019501
10,9,0.49248215556144714
10,10,0.4386860728263855
11,2,0.5236659646034241
11,3,0.4745914041996002
11,4,0.41924941539764404
11,5,0.4424707591533661
11,6,0.38903921842575073
11,7,0.39851799607276917
11,8,0.4005364775657654
11,9,0.3981509208679199
11,10,0.4134061634540558
12,2,0.8388185501098633
12,3,0.6549375653266907
12,4,0.6710799932479858
12,5,0.48502323031425476
12,6,0.4722020924091339
12,7,0.49085092544555664
12,8,0.4913499653339386
12,9,0.5115963816642761
12,10,0.5139856934547424
13,2,0.9381869435310364
13,3,0.6927489638328552
13,4,0.5149076581001282
13,5,0.5354194045066833
13,6,0.4917023181915283
13,7,0.5048722624778748
13,8,0.5463177561759949
13,9,0.5425822138786316
13,10,0.5172810554504395
14,2,0.8937350511550903
14,3,0.6634587645530701
14,4,0.5258293747901917
14,5,0.5549162030220032
14,6,0.5210062265396118
14,7,0.526914656162262
14,8,0.4984411299228668
14,9,0.5126989483833313
14,10,0.49533239006996155
15,2,0.6745589971542358
15,3,0.6197676062583923
15,4,0.625255823135376
15,5,0.5813047289848328
15,6,0.5831130743026733
15,7,0.5285013914108276
15,8,0.4630087912082672
15,9,0.4590904116630554
15,10,0.45972955226898193
16,2,0.88265061378479
16,3,0.7698770761489868
16,4,0.6328667998313904
16,5,0.6484106779098511
16,6,0.6604765057563782
16,7,0.5158651471138
16,8,0.5319080948829651
16,9,0.5090562701225281
16,10,0.5048466324806213
17,2,0.7384637594223022
17,3,0.8052952885627747
17,4,0.6083648204803467
17,5,0.5888034701347351
17,6,0.6121773719787598
17,7,0.5349283814430237
17,8,0.566656231880188
17,9,0.5624801516532898
17,10,0.5372974276542664
18,2,0.6722205877304077
18,3,0.6696799397468567
18,4,0.5634429454803467
18,5,0.5634585618972778
18,6,0.5060352087020874
18,7,0.43403658270835876
18,8,0.44707196950912476
18,9,0.43522292375564575
18,10,0.41818705201148987
19,2,0.6803537011146545
19,3,0.7073297500610352
19,4,0.5926639437675476
19,5,0.6121383905410767
19,6,0.6243098378181458
19,7,0.5973531603813171
19,8,0.6312718391418457
19,9,0.5956185460090637
