temp,UMAP1,UMAP2,Cluster,Grid_X,Grid_Y,State
200.0,10.57525,17.881037,0,1,1,glassy
200.5,10.221032,17.558565,0,1,1,glassy
201.0,10.351138,17.59481,0,1,1,glassy
201.5,11.113821,17.953075,0,1,1,glassy
202.0,10.756359,17.761997,0,1,1,glassy
202.5,10.529934,17.840612,0,1,1,glassy
203.0,10.018421,18.137384,0,1,1,glassy
203.5,9.714953,17.65967,0,0,1,glassy
204.0,10.952135,16.47625,0,1,1,glassy
204.5,10.799316,16.880476,0,1,1,glassy
205.0,10.966929,16.870197,0,1,1,glassy
205.5,10.565267,17.003664,0,1,1,glassy
206.0,11.159771,17.0959,0,1,1,glassy
206.5,10.132116,16.716772,0,1,1,glassy
207.0,10.131748,16.805813,0,1,1,glassy
207.5,10.113097,16.7523,0,1,1,glassy
208.0,10.132605,16.811022,0,1,1,glassy
208.5,10.496021,16.4102,0,1,1,glassy
209.0,10.517979,16.705957,0,1,1,glassy
209.5,10.4801655,17.229115,0,1,1,glassy
210.0,10.884656,17.587082,0,1,1,glassy
210.5,10.522479,17.54294,0,1,1,glassy
211.0,10.583737,18.110077,0,1,1,glassy
211.5,10.358402,17.138903,0,1,1,glassy
212.0,10.641364,17.333755,0,1,1,glassy
212.5,11.501191,17.93476,0,1,1,glassy
213.0,11.577264,18.26205,0,1,1,glassy
213.5,11.219868,18.298367,0,1,1,glassy
214.0,11.488008,18.187428,0,1,1,glassy
214.5,10.792661,18.636301,0,1,1,glassy
215.0,10.094223,18.184015,0,1,1,glassy
215.5,10.847616,17.7072,0,1,1,glassy
216.0,11.131978,18.154142,0,1,1,glassy
216.5,10.332486,18.367521,0,1,1,glassy
217.0,10.335897,18.140686,0,1,1,glassy
217.5,10.181316,18.373764,0,1,1,glassy
218.0,10.266779,18.549479,0,1,1,glassy
218.5,10.914385,18.39229,0,1,1,glassy
219.0,10.049662,17.638403,0,1,1,glassy
219.5,11.261836,18.056782,0,1,1,glassy
220.0,10.313022,17.494946,0,1,1,glassy
220.5,10.205595,17.03458,0,1,1,glassy
221.0,10.432697,17.99057,0,1,1,glassy
221.5,11.013234,18.367033,0,1,1,glassy
222.0,10.942565,17.84625,0,1,1,glassy
222.5,11.344292,18.436396,0,1,1,glassy
223.0,11.061761,17.916615,0,1,1,glassy
223.5,11.198654,18.823603,0,1,1,glassy
224.0,11.043402,18.606323,0,1,1,glassy
224.5,10.361973,18.476921,0,1,1,glassy
225.0,10.546482,18.051046,0,1,1,glassy
225.5,10.08458,17.015738,0,1,1,glassy
226.0,11.0421505,16.778551,0,1,1,glassy
226.5,10.086039,18.138895,0,1,1,glassy
227.0,10.090057,17.97368,0,1,1,glassy
227.5,10.7094755,18.233204,0,1,1,glassy
228.0,10.797092,18.616379,0,1,1,glassy
228.5,11.559085,18.112036,0,1,1,glassy
229.0,11.334442,18.859982,0,1,1,glassy
229.5,10.053558,18.139961,0,1,1,glassy
230.0,9.7103615,17.615112,0,0,1,glassy
230.5,10.225495,18.026794,0,1,1,glassy
231.0,10.094951,18.046965,0,1,1,glassy
231.5,10.817118,17.909796,0,1,1,glassy
232.0,10.14618,17.575644,0,1,1,glassy
232.5,10.514925,17.642445,0,1,1,glassy
233.0,10.811081,18.485086,0,1,1,glassy
233.5,10.85378,18.167297,0,1,1,glassy
234.0,11.021275,17.758484,0,1,1,glassy
234.5,9.667339,18.114801,0,0,1,glassy
235.0,11.224958,17.745907,0,1,1,glassy
235.5,10.672358,17.97348,0,1,1,glassy
236.0,10.830735,18.289717,0,1,1,glassy
236.5,9.923376,18.592028,0,0,1,glassy
237.0,10.441697,18.727888,0,1,1,glassy
237.5,10.6627655,17.454107,0,1,1,glassy
238.0,10.122939,17.004532,0,1,1,glassy
238.5,11.402166,18.158428,0,1,1,glassy
239.0,11.255706,17.832571,0,1,1,glassy
239.5,11.004981,18.056702,0,1,1,glassy
240.0,9.906218,17.207794,0,0,1,glassy
240.5,10.108461,18.397465,0,1,1,glassy
241.0,10.545033,17.293613,0,1,1,glassy
241.5,11.040355,17.1159,0,1,1,glassy
242.0,9.852583,17.80293,0,0,1,glassy
242.5,10.741931,18.074516,0,1,1,glassy
243.0,11.251274,18.472351,0,1,1,glassy
243.5,10.878857,18.557726,0,1,1,glassy
244.0,10.776359,17.502724,0,1,1,glassy
244.5,10.559654,18.275972,0,1,1,glassy
245.0,10.146322,17.864464,0,1,1,glassy
245.5,9.823427,18.13591,0,0,1,glassy
246.0,9.965771,17.608557,0,0,1,glassy
246.5,9.748311,18.335316,0,0,1,glassy
247.0,11.017272,18.341263,0,1,1,glassy
247.5,11.058826,18.180847,0,1,1,glassy
248.0,11.224492,18.766438,0,1,1,glassy
248.5,10.447442,17.181099,0,1,1,glassy
249.0,9.929771,18.522745,0,0,1,glassy
249.5,11.093776,17.841352,0,1,1,glassy
250.0,10.879413,16.770306,0,1,1,glassy
250.5,10.36199,18.324596,0,1,1,glassy
251.0,10.444236,17.188206,0,1,1,glassy
251.5,10.896215,18.764597,0,1,1,glassy
252.0,11.276317,18.488682,0,1,1,glassy
252.5,9.610654,18.202726,0,0,1,glassy
253.0,10.976084,18.71926,0,1,1,glassy
253.5,10.913681,17.206612,0,1,1,glassy
254.0,10.582306,17.58403,0,1,1,glassy
254.5,10.093739,17.41285,0,1,1,glassy
255.0,9.58936,18.266047,0,0,1,glassy
255.5,9.743548,18.593044,0,0,1,glassy
256.0,10.499738,18.164501,0,1,1,glassy
256.5,9.627132,18.342093,0,0,1,glassy
257.0,11.072696,18.030916,0,1,1,glassy
257.5,10.730764,18.743166,0,1,1,glassy
258.0,10.3351755,18.308575,0,1,1,glassy
258.5,10.02005,18.364895,0,1,1,glassy
259.0,10.715377,16.827976,0,1,1,glassy
259.5,10.394172,16.855358,0,1,1,glassy
260.0,11.482144,18.697895,0,1,1,glassy
260.5,10.670104,17.274738,0,1,1,glassy
261.0,10.257064,17.651558,0,1,1,glassy
261.5,11.135103,19.07074,0,1,1,glassy
262.0,10.858198,16.9746,0,1,1,glassy
262.5,10.0861225,18.06321,0,1,1,glassy
263.0,9.737874,17.217543,0,0,1,glassy
263.5,11.287399,17.523897,0,1,1,glassy
264.0,9.5251875,17.82223,0,0,1,glassy
264.5,11.235242,17.557884,0,1,1,glassy
265.0,10.948932,18.87648,0,1,1,glassy
265.5,10.862718,17.89872,0,1,1,glassy
266.0,10.799189,16.842003,0,1,1,glassy
266.5,10.753466,18.615494,0,1,1,glassy
267.0,10.736309,18.811544,0,1,1,glassy
267.5,10.723242,18.30606,0,1,1,glassy
268.0,10.542305,18.895447,0,1,1,glassy
268.5,10.392636,18.799007,0,1,1,glassy
269.0,10.309507,16.254759,0,1,1,glassy
269.5,10.989991,18.822254,0,1,1,glassy
270.0,12.655251,17.590275,0,1,1,glassy
270.5,12.214852,17.052492,0,1,1,glassy
271.0,11.9616995,17.646963,0,1,1,glassy
