chain,best_n_clusters,best_silhouette_score,best_Tg
0,2,0.8055506348609924,307.0
1,7,0.8574710488319397,330.0
2,2,0.7433603405952454,380.0
3,3,0.933521568775177,366.0
4,4,0.8989493250846863,359.5
5,5,0.8885948657989502,330.0
6,4,0.9022330641746521,340.0
7,5,0.9065161943435669,360.5
8,4,0.7972006797790527,400.0
9,6,0.8369948267936707,207.5
10,6,0.8142019510269165,309.5
11,2,0.850658655166626,390.0
12,4,0.8567107915878296,390.0
13,3,0.8272461891174316,380.0
14,4,0.9129513502120972,380.0
15,7,0.9156637191772461,333.5
16,5,0.9328727126121521,320.0
17,4,0.617438554763794,340.0
18,2,0.82196044921875,340.0
19,6,0.8649205565452576,280.0
20,5,0.8856834769248962,370.5
21,6,0.8128251433372498,380.5
22,2,0.854213535785675,430.0
23,5,0.8707249164581299,380.0
24,5,0.897036612033844,330.0
