UMAP1,UMAP2,temp,Cluster,Grid_X,Grid_Y,State,Cluster_Change
-17.044674,15.189385,200.0,2,-2,1,glassy,False
-16.436253,15.6826515,200.5,2,-2,1,glassy,False
-16.957745,14.964069,201.0,2,-2,1,glassy,False
-17.130302,15.097978,201.5,2,-2,1,glassy,False
-16.812578,15.230512,202.0,2,-2,1,glassy,False
-17.054893,14.80192,202.5,2,-2,1,glassy,False
-17.068514,15.175634,203.0,2,-2,1,glassy,False
-16.832487,14.881771,203.5,2,-2,1,glassy,False
-16.668737,14.930901,204.0,2,-2,1,glassy,False
-15.982356,15.994304,204.5,2,-2,1,glassy,False
-17.031805,15.368102,205.0,2,-2,1,glassy,False
-17.090618,15.303505,205.5,2,-2,1,glassy,False
-16.936262,14.914635,206.0,2,-2,1,glassy,False
-16.972607,15.217815,206.5,2,-2,1,glassy,False
-16.302988,15.911808,207.0,2,-2,1,glassy,False
-16.9355,15.123473,207.5,2,-2,1,glassy,False
-16.382504,15.545963,208.0,2,-2,1,glassy,False
-16.29804,15.977259,208.5,2,-2,1,glassy,False
-16.460203,15.880874,209.0,2,-2,1,glassy,False
-16.355986,15.582247,209.5,2,-2,1,glassy,False
-16.438953,16.103298,210.0,2,-2,1,glassy,False
-17.022242,14.840978,210.5,2,-2,1,glassy,False
-16.339092,15.940866,211.0,2,-2,1,glassy,False
-16.825117,14.862296,211.5,2,-2,1,glassy,False
-16.417511,15.973131,212.0,2,-2,1,glassy,False
-17.136452,14.885505,212.5,2,-2,1,glassy,False
-16.238033,15.680205,213.0,2,-2,1,glassy,False
-16.016771,16.174644,213.5,2,-2,1,glassy,False
-17.101782,15.527213,214.0,2,-2,1,glassy,False
-17.042133,15.310788,214.5,2,-2,1,glassy,False
-16.856405,15.306388,215.0,2,-2,1,glassy,False
-16.68389,15.517486,215.5,2,-2,1,glassy,False
-16.172033,15.936424,216.0,2,-2,1,glassy,False
-17.29902,15.171005,216.5,2,-2,1,glassy,False
-17.346987,15.230723,217.0,2,-2,1,glassy,False
-17.064116,14.912881,217.5,2,-2,1,glassy,False
-17.245184,15.008497,218.0,2,-2,1,glassy,False
-16.500973,16.187725,218.5,2,-2,1,glassy,False
-16.677372,15.084523,219.0,2,-2,1,glassy,False
-16.154875,15.581498,219.5,2,-2,1,glassy,False
-16.96479,14.706976,220.0,2,-2,1,glassy,False
-16.578573,15.020796,220.5,2,-2,1,glassy,False
-15.928709,15.8290415,221.0,2,-2,1,glassy,False
