UMAP1,UMAP2,temp
10.991393,20.919716,200.0
11.256568,21.67853,200.5
11.714525,20.871115,201.0
11.873992,21.114847,201.5
11.591182,20.856264,202.0
11.683542,20.921638,202.5
11.303082,21.214287,203.0
11.537877,21.58661,203.5
11.62377,21.3677,204.0
10.387255,21.249617,204.5
11.102352,21.083115,205.0
11.606236,21.728056,205.5
12.184834,21.509565,206.0
11.926227,21.88405,206.5
11.686588,21.696745,207.0
11.799945,21.82018,207.5
11.125103,20.319914,208.0
11.23162,20.423826,208.5
10.58052,20.619852,209.0
11.034514,20.292412,209.5
10.8862,20.364058,210.0
10.897765,20.271358,210.5
11.049428,20.120014,211.0
10.724792,20.50237,211.5
10.518904,20.319935,212.0
10.431341,21.16953,212.5
10.645247,20.714876,213.0
10.549696,20.555769,213.5
11.332991,20.117004,214.0
11.015801,20.015041,214.5
10.361814,21.459288,215.0
11.115678,21.995472,215.5
11.523621,20.928701,216.0
11.740164,20.652546,216.5
11.112325,20.19112,217.0
10.916214,20.402878,217.5
10.519542,20.379997,218.0
11.208085,19.73202,218.5
10.958758,19.770662,219.0
10.583946,20.567488,219.5
9.963765,21.060024,220.0
10.093226,21.177874,220.5
10.100199,21.181366,221.0
10.237251,20.966618,221.5
10.037534,20.906067,222.0
9.937762,21.04465,222.5
10.026898,20.581581,223.0
11.209142,20.203201,223.5
10.924488,20.094305,224.0
10.6721525,20.04383,224.5
10.973691,20.306812,225.0
10.809838,20.058651,225.5
11.039801,20.835049,226.0
10.478317,21.646513,226.5
10.789116,21.402483,227.0
12.098509,21.506144,227.5
11.049565,21.59956,228.0
11.364048,20.853928,228.5
10.97225,21.062517,229.0
11.769068,20.928371,229.5
11.1334505,20.291315,230.0
10.541556,20.131416,230.5
10.779533,19.973036,231.0
10.587247,20.150469,231.5
10.660795,19.806211,232.0
11.320175,20.806759,232.5
11.407828,21.946726,233.0
10.65895,21.071287,233.5
11.507425,20.646503,234.0
10.924014,20.933697,234.5
11.635374,21.794891,235.0
10.570302,21.38249,235.5
10.264316,21.51197,236.0
11.1366825,21.383665,236.5
10.488463,21.329035,237.0
10.682245,21.19505,237.5
11.107123,21.836096,238.0
10.809238,21.504812,238.5
11.516846,20.971512,239.0
11.119116,21.450441,239.5
10.817939,21.886902,240.0
10.572897,21.359154,240.5
10.40324,21.759047,241.0
11.395035,21.548769,241.5
10.688411,21.29635,242.0
10.492333,21.626041,242.5
10.960967,21.53888,243.0
10.678778,21.831114,243.5
10.600455,21.778065,244.0
11.127357,20.945057,244.5
11.370777,20.698753,245.0
11.497341,20.494509,245.5
9.963969,21.1065,246.0
9.8372135,21.225525,246.5
11.315195,20.977198,247.0
11.171939,21.786922,247.5
11.931597,20.48671,248.0
11.049909,21.205847,248.5
10.412809,21.742445,249.0
10.849975,20.896816,249.5
11.237704,19.899162,250.0
10.459336,20.01917,250.5
10.373317,20.250237,251.0
10.836774,20.225101,251.5
10.357318,20.101349,252.0
10.450912,20.762817,252.5
11.016256,20.372408,253.0
10.466556,19.785158,253.5
10.63751,19.73569,254.0
10.437687,20.625366,254.5
10.586,20.50169,255.0
10.59995,19.838795,255.5
10.409341,20.261732,256.0
11.276432,19.76915,256.5
10.221626,21.702398,257.0
10.823673,19.88621,257.5
10.265684,20.259453,258.0
10.690218,19.931122,258.5
11.067714,19.632982,259.0
11.146189,20.123415,259.5
10.625762,21.82675,260.0
10.777825,19.786982,260.5
10.848744,20.011637,261.0
10.454486,20.539083,261.5
11.488655,21.376211,262.0
10.2150135,20.037899,262.5
10.669456,21.890423,263.0
11.729783,21.028471,263.5
10.597556,21.26343,264.0
11.007959,20.921173,264.5
10.63074,20.084227,265.0
11.501452,20.081173,265.5
11.222465,22.094645,266.0
11.8629875,21.463375,266.5
10.543728,21.90771,267.0
11.045932,21.579287,267.5
11.230643,21.041227,268.0
11.892736,21.525257,268.5
10.5171795,19.905895,269.0
10.200125,20.205652,269.5
10.733828,21.14155,270.0
10.937046,21.871075,270.5
10.43886,21.678997,271.0
11.023766,21.287855,271.5
11.214181,21.746439,272.0
10.410733,21.281218,272.5
10.554936,21.47359,273.0
9.967338,21.326075,273.5
10.1147,21.360384,274.0
10.10089,21.475468,274.5
9.922912,21.399887,275.0
10.261351,21.682428,275.5
12.005316,20.043407,276.0
12.367102,22.46655,276.5
10.527853,20.922,277.0
12.542744,22.350073,277.5
11.885318,20.071058,278.0
12.002324,19.888023,278.5
11.807841,20.711683,279.0
10.212536,21.215057,279.5
12.249717,19.798254,280.0
12.233469,20.603151,280.5
12.379084,19.812109,281.0
12.01149,21.05355,281.5
12.432721,20.354322,282.0
12.295099,21.65213,282.5
12.455743,21.463074,283.0
12.095874,21.062506,283.5
11.122233,20.688316,284.0
11.469142,22.006548,284.5
12.405915,21.039064,285.0
12.31548,20.981337,285.5
12.153336,19.758501,286.0
12.464263,20.116468,286.5
11.850241,21.089893,287.0
12.342645,20.700975,287.5
12.339971,20.738304,288.0
12.357745,19.912714,288.5
12.449167,19.924084,289.0
11.3608055,19.681135,289.5
12.003576,21.18014,290.0
11.580455,21.602575,290.5
12.151236,21.250446,291.0
11.160531,20.735441,291.5
10.764417,19.85308,292.0
11.660467,21.287327,292.5
11.898995,20.684233,293.0
10.778328,21.532578,293.5
