chain,n_clusters,silhouette_score
0,2,0.8613736033439636
0,3,0.8337059020996094
0,4,0.840758740901947
0,5,0.8726629018783569
0,6,0.8472954034805298
0,7,0.8422303199768066
0,8,0.6305811405181885
0,9,0.6311684846878052
0,10,0.6357678771018982
1,2,0.5775296688079834
1,3,0.610140323638916
1,4,0.6255857944488525
1,5,0.6429373025894165
1,6,0.5559452176094055
1,7,0.5363824367523193
1,8,0.47458764910697937
1,9,0.4358639419078827
1,10,0.4474969208240509
2,2,0.8771552443504333
2,3,0.9454717636108398
2,4,0.879244327545166
2,5,0.640264093875885
2,6,0.5752033591270447
2,7,0.5800566673278809
2,8,0.5773504376411438
2,9,0.5808046460151672
2,10,0.5908955931663513
3,2,0.7633594274520874
3,3,0.7536420226097107
3,4,0.8356617093086243
3,5,0.8807045221328735
3,6,0.8334397077560425
3,7,0.8377403616905212
3,8,0.8112297654151917
3,9,0.8014581799507141
3,10,0.7755646705627441
4,2,0.8419877886772156
4,3,0.7988881468772888
4,4,0.492158442735672
4,5,0.49475088715553284
4,6,0.4422297775745392
4,7,0.4334912896156311
4,8,0.41007423400878906
4,9,0.4207639694213867
4,10,0.43427062034606934
5,2,0.5867217779159546
5,3,0.6389621496200562
5,4,0.6119029521942139
5,5,0.5889315009117126
5,6,0.5967652201652527
5,7,0.4960026144981384
5,8,0.46406665444374084
5,9,0.46367645263671875
5,10,0.4484083354473114
6,2,0.7508535385131836
6,3,0.7912384271621704
6,4,0.8435401916503906
6,5,0.8018900156021118
6,6,0.7723762392997742
6,7,0.7743165493011475
6,8,0.7843160629272461
6,9,0.584115207195282
6,10,0.5678255558013916
7,2,0.6028871536254883
7,3,0.6646939516067505
7,4,0.6418554186820984
7,5,0.6051874756813049
7,6,0.537741482257843
7,7,0.5297755002975464
7,8,0.528267502784729
7,9,0.500853955745697
7,10,0.5126990079879761
8,2,0.703889012336731
8,3,0.8646538853645325
8,4,0.8115557432174683
8,5,0.874734103679657
8,6,0.8561686873435974
8,7,0.8681983947753906
8,8,0.8414967656135559
8,9,0.6610934734344482
8,10,0.5769224166870117
9,2,0.6422436833381653
9,3,0.5195571184158325
9,4,0.3873368203639984
9,5,0.41601118445396423
9,6,0.4041188955307007
9,7,0.4523381292819977
9,8,0.46616071462631226
9,9,0.45744588971138
9,10,0.425110399723053
10,2,0.8345098495483398
10,3,0.8225131034851074
10,4,0.824327826499939
10,5,0.6673186421394348
10,6,0.6505946516990662
10,7,0.6875134110450745
10,8,0.6832996010780334
10,9,0.6293004155158997
10,10,0.6140701174736023
11,2,0.42630770802497864
11,3,0.39819154143333435
11,4,0.5150545835494995
11,5,0.5549991130828857
11,6,0.5843772888183594
11,7,0.6419666409492493
11,8,0.6073494553565979
11,9,0.5742281675338745
11,10,0.583949625492096
12,2,0.639045774936676
12,3,0.5650425553321838
12,4,0.6546158790588379
12,5,0.5175169110298157
12,6,0.4853869080543518
12,7,0.47583678364753723
12,8,0.46231186389923096
12,9,0.45884275436401367
12,10,0.4557347297668457
13,2,0.8051138520240784
13,3,0.8656423091888428
13,4,0.8842466473579407
13,5,0.6164717078208923
13,6,0.5372937321662903
13,7,0.5501171946525574
13,8,0.5787602663040161
13,9,0.5993507504463196
13,10,0.6238991618156433
14,2,0.6264426708221436
14,3,0.7250022888183594
14,4,0.6159853935241699
14,5,0.5393732786178589
14,6,0.5288453698158264
14,7,0.5136497020721436
14,8,0.49246394634246826
14,9,0.4862971901893616
14,10,0.4997120499610901
15,2,0.6457676887512207
15,3,0.6946676969528198
15,4,0.7229601144790649
15,5,0.7479624152183533
15,6,0.7692657709121704
15,7,0.7950294613838196
15,8,0.7870978713035583
15,9,0.7774639129638672
15,10,0.6597383618354797
16,2,0.7342633605003357
16,3,0.7537978887557983
16,4,0.7429454922676086
16,5,0.7614376544952393
16,6,0.7928667068481445
16,7,0.7703990340232849
16,8,0.7797520756721497
16,9,0.8059136867523193
16,10,0.6534487009048462
17,2,0.7874706387519836
17,3,0.7924907803535461
17,4,0.7507199048995972
17,5,0.7086259722709656
17,6,0.7268180251121521
17,7,0.7143070101737976
17,8,0.7156581282615662
17,9,0.7382775545120239
17,10,0.6097724437713623
18,2,0.6254463195800781
18,3,0.5092026591300964
18,4,0.49149417877197266
18,5,0.5050151348114014
18,6,0.4669385552406311
18,7,0.44483599066734314
18,8,0.47389349341392517
18,9,0.4905916452407837
18,10,0.48666712641716003
19,2,0.6137629747390747
19,3,0.46150869131088257
19,4,0.4228150546550751
19,5,0.32588136196136475
19,6,0.3446429967880249
19,7,0.3460872769355774
19,8,0.33263489603996277
19,9,0.32531002163887024
19,10,0.3431832492351532
20,2,0.4409617483615875
20,3,0.5303610563278198
20,4,0.44939348101615906
20,5,0.3953741192817688
20,6,0.34690964221954346
20,7,0.3067753314971924
20,8,0.32026922702789307
20,9,0.3152541220188141
20,10,0.31978902220726013
21,2,0.5873748064041138
21,3,0.4201301038265228
21,4,0.4268309473991394
21,5,0.43513721227645874
21,6,0.4453592300415039
21,7,0.361768513917923
21,8,0.3656732439994812
21,9,0.35751643776893616
