chain,best_n_clusters,best_silhouette_score,best_Tg
0,5,0.8726629018783569,420.0
1,5,0.6429373025894165,290.0
2,3,0.9454717636108398,338.5
3,5,0.8807045221328735,340.0
4,2,0.8419877886772156,430.5
5,3,0.6389621496200562,270.0
6,4,0.8435401916503906,333.0
7,3,0.6646939516067505,360.0
8,5,0.874734103679657,291.0
9,2,0.6422436833381653,371.5
10,2,0.8345098495483398,390.0
11,7,0.6419666409492493,419.0
12,4,0.6546158790588379,313.5
13,4,0.8842466473579407,362.5
14,3,0.7250022888183594,200.5
15,7,0.7950294613838196,320.0
16,9,0.8059136867523193,320.0
17,3,0.7924907803535461,400.5
18,2,0.6254463195800781,392.0
19,2,0.6137629747390747,205.5
20,3,0.5303610563278198,344.5
21,2,0.5873748064041138,
22,2,0.5182048082351685,435.0
23,2,0.6131819486618042,238.5
24,2,0.7505406737327576,214.0
