temp,UMAP1,UMAP2,Cluster,Grid_X,Grid_Y,State
200.0,-0.29246256,18.178041,1,-1,1,glassy
200.5,-0.3830307,18.119314,1,-1,1,glassy
201.0,-0.34261706,18.139778,1,-1,1,glassy
201.5,-0.28786433,18.11728,1,-1,1,glassy
202.0,-0.2748968,18.146877,1,-1,1,glassy
202.5,-0.33223748,18.197567,1,-1,1,glassy
203.0,-0.3186365,18.09473,1,-1,1,glassy
203.5,-0.3973372,17.875063,1,-1,1,glassy
204.0,-0.40115285,18.056543,1,-1,1,glassy
204.5,-0.42041296,18.01073,1,-1,1,glassy
205.0,-0.3489653,18.045834,1,-1,1,glassy
205.5,-0.55414337,18.081013,1,-1,1,glassy
206.0,-0.4135962,18.03193,1,-1,1,glassy
206.5,-0.61914045,17.77057,1,-1,1,glassy
207.0,-0.44351378,17.952042,1,-1,1,glassy
207.5,-0.35152894,18.030994,1,-1,1,glassy
208.0,-0.31645504,18.016352,1,-1,1,glassy
208.5,-0.36765927,17.842876,1,-1,1,glassy
209.0,-0.40348238,17.864468,1,-1,1,glassy
209.5,-0.44962612,17.690214,1,-1,1,glassy
210.0,-1.6316997,15.059913,1,-1,1,glassy
210.5,-2.6808355,14.98368,1,-1,1,glassy
211.0,-2.9319758,15.211418,1,-1,1,glassy
211.5,-2.9187362,15.193766,1,-1,1,glassy
212.0,-3.024731,15.110298,1,-1,1,glassy
212.5,-3.3094006,15.111634,1,-1,1,glassy
213.0,-3.2191434,15.229967,1,-1,1,glassy
213.5,-3.0775523,14.970314,1,-1,1,glassy
214.0,-2.78093,15.226641,1,-1,1,glassy
214.5,-2.820238,14.842402,1,-1,1,glassy
215.0,-2.7923422,15.332681,1,-1,1,glassy
215.5,-3.1275687,15.083868,1,-1,1,glassy
216.0,-2.9047801,15.358059,1,-1,1,glassy
216.5,-2.9869125,15.286827,1,-1,1,glassy
217.0,-3.103897,15.032713,1,-1,1,glassy
217.5,-2.649001,14.749966,1,-1,1,glassy
218.0,-3.2350342,15.158081,1,-1,1,glassy
218.5,-3.175159,15.007297,1,-1,1,glassy
219.0,-3.1923923,15.025834,1,-1,1,glassy
219.5,-1.7599242,15.24171,1,-1,1,glassy
220.0,-2.2370605,15.155908,1,-1,1,glassy
220.5,-3.0358553,15.29669,1,-1,1,glassy
221.0,-2.8791142,15.155505,1,-1,1,glassy
221.5,-3.126549,15.483806,1,-1,1,glassy
222.0,-2.850311,15.913522,1,-1,1,glassy
222.5,-2.928346,15.887785,1,-1,1,glassy
223.0,-2.7588305,15.752351,1,-1,1,glassy
223.5,-3.3674068,15.784071,1,-1,1,glassy
224.0,-3.1774225,15.697179,1,-1,1,glassy
