UMAP1,UMAP2,temp,Cluster,Grid_X,Grid_Y,State,Cluster_Change
-5.6619296,20.825464,200.0,1,-1,2,glassy,False
-5.6147823,20.629848,200.5,1,-1,2,glassy,False
-5.53781,20.788933,201.0,1,-1,2,glassy,False
-5.685014,20.586168,201.5,1,-1,2,glassy,False
-5.6730647,20.567242,202.0,1,-1,2,glassy,False
-5.6829877,20.560905,202.5,1,-1,2,glassy,False
-5.6579814,20.781584,203.0,1,-1,2,glassy,False
-5.5974226,20.536253,203.5,1,-1,2,glassy,False
-5.7043343,20.738329,204.0,1,-1,2,glassy,False
-5.6085534,20.59367,204.5,1,-1,2,glassy,False
-5.6296954,20.609966,205.0,1,-1,2,glassy,False
-5.7529345,20.627502,205.5,1,-1,2,glassy,False
-5.564896,20.654642,206.0,1,-1,2,glassy,False
-5.6268272,20.49054,206.5,1,-1,2,glassy,False
-5.7535806,20.548374,207.0,1,-1,2,glassy,False
-5.624469,20.506964,207.5,1,-1,2,glassy,False
-5.589854,20.523811,208.0,1,-1,2,glassy,False
-5.91229,21.637428,208.5,1,-1,2,glassy,False
-5.475163,21.74377,209.0,1,-1,2,glassy,False
-5.6554904,21.05885,209.5,1,-1,2,glassy,False
-5.494296,21.88475,210.0,1,-1,2,glassy,False
-5.946457,21.461826,210.5,1,-1,2,glassy,False
-5.893315,21.773468,211.0,1,-1,2,glassy,False
-6.039201,22.239954,211.5,1,-1,2,glassy,False
-5.987351,22.131899,212.0,1,-1,2,glassy,False
-5.8041363,21.477112,212.5,1,-1,2,glassy,False
-6.221921,21.924963,213.0,1,-1,2,glassy,False
-5.9225464,21.859753,213.5,1,-1,2,glassy,False
-5.8815584,21.817394,214.0,1,-1,2,glassy,False
-6.2119803,21.9691,214.5,1,-1,2,glassy,False
-5.580626,21.642372,215.0,1,-1,2,glassy,False
-6.0756187,21.845846,215.5,1,-1,2,glassy,False
-5.6508675,22.366087,216.0,1,-1,2,glassy,False
-6.171465,21.782879,216.5,1,-1,2,glassy,False
-5.761325,21.537075,217.0,1,-1,2,glassy,False
-5.8856325,22.570715,217.5,1,-1,2,glassy,False
-6.077601,22.97557,218.0,1,-1,2,glassy,False
-6.031059,22.070316,218.5,1,-1,2,glassy,False
-6.1267433,21.739893,219.0,1,-1,2,glassy,False
-5.829918,21.934206,219.5,1,-1,2,glassy,False
-5.9839096,21.91134,220.0,1,-1,2,glassy,False
-5.794092,21.961807,220.5,1,-1,2,glassy,False
-6.187603,22.584393,221.0,1,-1,2,glassy,False
-6.2371635,22.021217,221.5,1,-1,2,glassy,False
-5.6931686,22.01924,222.0,1,-1,2,glassy,False
-5.2893558,22.015661,222.5,1,-1,2,glassy,False
-5.781912,22.126308,223.0,1,-1,2,glassy,False
-5.8200064,21.79894,223.5,1,-1,2,glassy,False
-5.402991,22.113152,224.0,1,-1,2,glassy,False
-6.255396,21.770267,224.5,1,-1,2,glassy,False
-5.913344,22.04893,225.0,1,-1,2,glassy,False
-6.0607553,23.160223,225.5,1,-1,2,glassy,False
-5.4951963,22.15576,226.0,1,-1,2,glassy,False
-6.1929812,23.305763,226.5,1,-1,2,glassy,False
-6.0812263,22.261547,227.0,1,-1,2,glassy,False
-5.819527,22.41627,227.5,1,-1,2,glassy,False
-5.230645,21.941765,228.0,1,-1,2,glassy,False
-5.7796507,21.781797,228.5,1,-1,2,glassy,False
-6.3054404,22.558107,229.0,1,-1,2,glassy,False
-5.373545,22.284294,229.5,1,-1,2,glassy,False
-6.2439556,21.7626,230.0,1,-1,2,glassy,False
-6.4938464,22.162008,230.5,1,-1,2,glassy,False
-6.4421296,21.880732,231.0,1,-1,2,glassy,False
-5.14609,22.261015,231.5,1,-1,2,glassy,False
-6.0782022,23.084415,232.0,1,-1,2,glassy,False
-5.8038993,21.968513,232.5,1,-1,2,glassy,False
-5.748389,21.922842,233.0,1,-1,2,glassy,False
-5.803733,21.756016,233.5,1,-1,2,glassy,False
-5.529458,21.61757,234.0,1,-1,2,glassy,False
-5.967345,22.548166,234.5,1,-1,2,glassy,False
-5.2599063,22.261877,235.0,1,-1,2,glassy,False
-5.51902,22.44132,235.5,1,-1,2,glassy,False
-5.82672,22.3894,236.0,1,-1,2,glassy,False
-6.219589,22.397732,236.5,1,-1,2,glassy,False
-5.825027,22.285116,237.0,1,-1,2,glassy,False
-6.129876,22.650217,237.5,1,-1,2,glassy,False
-6.0747933,22.374277,238.0,1,-1,2,glassy,False
-4.9346666,22.779102,238.5,1,-1,2,glassy,False
-6.1670833,21.58592,239.0,1,-1,2,glassy,False
-5.570789,23.413736,239.5,1,-1,2,glassy,False
-6.185309,22.65128,240.0,1,-1,2,glassy,False
-6.5140605,21.911047,240.5,1,-1,2,glassy,False
-5.7316966,22.501892,241.0,1,-1,2,glassy,False
-5.143043,22.615273,241.5,1,-1,2,glassy,False
-5.478705,21.865044,242.0,1,-1,2,glassy,False
-6.3484197,22.50606,242.5,1,-1,2,glassy,False
-6.0301027,22.3629,243.0,1,-1,2,glassy,False
-4.78133,22.728994,243.5,1,-1,2,glassy,False
-4.71125,23.846426,244.0,1,-1,2,glassy,False
-4.7094007,22.700092,244.5,1,-1,2,glassy,False
-5.370829,22.775406,245.0,1,-1,2,glassy,False
-5.264636,22.758507,245.5,1,-1,2,glassy,False
-5.066396,22.4291,246.0,1,-1,2,glassy,False
-6.4808464,21.785208,246.5,1,-1,2,glassy,False
-6.0546374,22.949125,247.0,1,-1,2,glassy,False
-6.4316607,21.615509,247.5,1,-1,2,glassy,False
-6.1354485,21.552996,248.0,1,-1,2,glassy,False
-5.5434513,22.604288,248.5,1,-1,2,glassy,False
-6.7266645,22.205145,249.0,1,-1,2,glassy,False
-5.111764,22.44214,249.5,1,-1,2,glassy,False
-5.834726,22.717844,250.0,1,-1,2,glassy,False
