chain,n_clusters,silhouette_score
0,2,0.7768621444702148
0,3,0.8668100237846375
0,4,0.9012805819511414
0,5,0.7302707433700562
0,6,0.649394690990448
0,7,0.6807504296302795
0,8,0.6853164434432983
0,9,0.7213277220726013
0,10,0.7005364298820496
1,2,0.7078863978385925
1,3,0.7494853138923645
1,4,0.7726951837539673
1,5,0.711702823638916
1,6,0.7425182461738586
1,7,0.7777701616287231
1,8,0.6649236679077148
1,9,0.6717722415924072
1,10,0.637125551700592
2,2,0.6552863717079163
2,3,0.7613486051559448
2,4,0.6485870480537415
2,5,0.5894699096679688
2,6,0.6092343926429749
2,7,0.6381586194038391
2,8,0.5492233633995056
2,9,0.5644001364707947
2,10,0.560693621635437
3,2,0.8715096116065979
3,3,0.7641908526420593
3,4,0.459416002035141
3,5,0.4771935045719147
3,6,0.46524450182914734
3,7,0.46512627601623535
3,8,0.47369906306266785
3,9,0.49248531460762024
3,10,0.4949861764907837
4,2,0.7343925833702087
4,3,0.8289604783058167
4,4,0.8283176422119141
4,5,0.8587160110473633
4,6,0.8554344177246094
4,7,0.8863720297813416
4,8,0.8602821230888367
4,9,0.8669517040252686
4,10,0.6116663813591003
5,2,0.7665202021598816
5,3,0.7956172227859497
5,4,0.8024527430534363
5,5,0.6732610464096069
5,6,0.6640268564224243
5,7,0.7163395285606384
5,8,0.7297892570495605
5,9,0.7408480048179626
5,10,0.7042309641838074
6,2,0.6828838586807251
6,3,0.7717326879501343
6,4,0.7133859395980835
6,5,0.7873198986053467
6,6,0.8349935412406921
6,7,0.8563246726989746
6,8,0.8737108707427979
6,9,0.881446361541748
6,10,0.8581467866897583
7,2,0.902010440826416
7,3,0.8320201635360718
7,4,0.6442131996154785
7,5,0.6660879254341125
7,6,0.6850463151931763
7,7,0.6972907185554504
7,8,0.5866076946258545
7,9,0.604522168636322
7,10,0.6145041584968567
8,2,0.8695166110992432
8,3,0.9142971038818359
8,4,0.8411085605621338
8,5,0.4855552911758423
8,6,0.49017268419265747
8,7,0.526710569858551
8,8,0.5132290124893188
8,9,0.480011910200119
8,10,0.4604637026786804
9,2,0.6612924933433533
9,3,0.7811810374259949
9,4,0.7670692205429077
9,5,0.7547300457954407
9,6,0.774811327457428
9,7,0.747261643409729
9,8,0.7720621228218079
9,9,0.7962449193000793
9,10,0.7024358510971069
10,2,0.7927460670471191
10,3,0.8030280470848083
10,4,0.8531801104545593
10,5,0.8373870849609375
10,6,0.6077685952186584
10,7,0.6113632917404175
10,8,0.5449488162994385
10,9,0.5649614334106445
10,10,0.5685489773750305
11,2,0.6699064373970032
11,3,0.7400946617126465
11,4,0.782935619354248
11,5,0.8160313367843628
11,6,0.821381151676178
11,7,0.6225053071975708
11,8,0.6022253036499023
11,9,0.6106867790222168
11,10,0.6483868360519409
12,2,0.7366442084312439
12,3,0.7254012227058411
12,4,0.7856284976005554
12,5,0.7312851548194885
12,6,0.7737640142440796
12,7,0.8114307522773743
12,8,0.8201088309288025
12,9,0.8028854131698608
12,10,0.8089284300804138
13,2,0.7980159521102905
13,3,0.6983441114425659
13,4,0.7208036780357361
13,5,0.7237094640731812
13,6,0.743926465511322
13,7,0.4864117503166199
13,8,0.4867340326309204
13,9,0.49657970666885376
13,10,0.4849756956100464
14,2,0.7996293902397156
14,3,0.7138935923576355
14,4,0.5964687466621399
14,5,0.6464711427688599
14,6,0.6215500235557556
14,7,0.637701690196991
14,8,0.663915753364563
14,9,0.6931403875350952
14,10,0.6840829849243164
15,2,0.9137929677963257
15,3,0.795685887336731
15,4,0.6706632375717163
15,5,0.6788979172706604
15,6,0.5910776257514954
15,7,0.595104992389679
15,8,0.6227575540542603
15,9,0.6142253875732422
15,10,0.6345082521438599
16,2,0.7757393717765808
16,3,0.8237683773040771
16,4,0.8223811984062195
16,5,0.8403119444847107
16,6,0.8108196258544922
16,7,0.5512851476669312
16,8,0.5551404356956482
16,9,0.5775381326675415
16,10,0.6021079421043396
17,2,0.49632540345191956
17,3,0.664863646030426
17,4,0.7050368189811707
17,5,0.7120169401168823
17,6,0.745344340801239
17,7,0.7956708073616028
