chain,best_n_clusters,best_silhouette_score,best_Tg
0,3,0.8426783084869385,379.0
1,6,0.808908998966217,277.0
2,5,0.7986281514167786,251.0
3,10,0.7357227206230164,288.0
4,2,0.8365046381950378,370.0
5,4,0.900995671749115,370.0
6,4,0.8634480834007263,360.0
7,9,0.9006959795951843,280.0
8,8,0.9025341868400574,350.0
9,4,0.8724274635314941,370.0
10,4,0.8941774368286133,332.5
11,3,0.8293920159339905,400.5
12,3,0.8515425324440002,370.0
13,2,0.730588436126709,380.0
14,4,0.8778530955314636,369.5
15,3,0.8047381043434143,280.5
16,5,0.8675431609153748,300.0
17,3,0.7748222947120667,350.0
18,6,0.820668637752533,270.0
19,4,0.8170508146286011,361.0
20,6,0.8055200576782227,340.0
21,5,0.844753086566925,290.0
22,6,0.8606111407279968,328.5
23,6,0.8471612930297852,326.5
24,5,0.8858411312103271,322.0
