,chain,Tg_2,Tg_3,Tg_4,Tg_5,Tg_6,Tg_7,Tg_8,Tg_9,Tg_10
0,0.0,360.5,,,,,,,,
0,0.0,,360.5,,,,,,,
0,0.0,,,262.0,,,,,,
0,0.0,,,,262.0,,,,,
0,0.0,,,,,262.0,,,,
0,0.0,,,,,,262.0,,,
0,0.0,,,,,,,262.0,,
0,0.0,,,,,,,,262.0,
0,0.0,,,,,,,,,262.0
0,1.0,350.5,,,,,,,,
0,1.0,,350.5,,,,,,,
0,1.0,,,350.5,,,,,,
0,1.0,,,,237.5,,,,,
0,1.0,,,,,237.5,,,,
0,1.0,,,,,,237.5,,,
0,1.0,,,,,,,237.5,,
0,1.0,,,,,,,,237.5,
0,1.0,,,,,,,,,237.5
0,2.0,310.5,,,,,,,,
0,2.0,,310.5,,,,,,,
0,2.0,,,450.5,,,,,,
0,2.0,,,,450.5,,,,,
0,2.0,,,,,310.5,,,,
0,2.0,,,,,,450.5,,,
0,2.0,,,,,,,310.5,,
0,2.0,,,,,,,,310.5,
0,2.0,,,,,,,,,310.5
0,3.0,350.5,,,,,,,,
0,3.0,,350.5,,,,,,,
0,3.0,,,200.5,,,,,,
0,3.0,,,,200.5,,,,,
0,3.0,,,,,200.5,,,,
0,3.0,,,,,,200.5,,,
0,3.0,,,,,,,200.5,,
0,3.0,,,,,,,,200.5,
0,3.0,,,,,,,,,200.5
0,4.0,330.5,,,,,,,,
0,4.0,,330.5,,,,,,,
0,4.0,,,330.5,,,,,,
0,4.0,,,,330.5,,,,,
0,4.0,,,,,330.5,,,,
0,4.0,,,,,,330.5,,,
0,4.0,,,,,,,330.5,,
0,4.0,,,,,,,,330.5,
0,4.0,,,,,,,,,205.0
0,5.0,297.0,,,,,,,,
0,5.0,,297.0,,,,,,,
0,5.0,,,297.0,,,,,,
0,5.0,,,,297.0,,,,,
0,5.0,,,,,297.0,,,,
0,5.0,,,,,,297.0,,,
0,5.0,,,,,,,297.0,,
0,5.0,,,,,,,,297.0,
0,5.0,,,,,,,,,297.0
0,6.0,360.5,,,,,,,,
0,6.0,,310.5,,,,,,,
0,6.0,,,310.5,,,,,,
0,6.0,,,,310.5,,,,,
0,6.0,,,,,310.5,,,,
0,6.0,,,,,,310.5,,,
0,6.0,,,,,,,310.5,,
0,6.0,,,,,,,,310.5,
0,6.0,,,,,,,,,310.5
0,7.0,298.0,,,,,,,,
0,7.0,,298.0,,,,,,,
0,7.0,,,298.0,,,,,,
0,7.0,,,,298.0,,,,,
0,7.0,,,,,298.0,,,,
0,7.0,,,,,,298.0,,,
0,7.0,,,,,,,298.0,,
0,7.0,,,,,,,,200.5,
0,7.0,,,,,,,,,200.5
0,8.0,350.5,,,,,,,,
0,8.0,,350.5,,,,,,,
0,8.0,,,350.5,,,,,,
