chain,k,Tg,silhouette
0,2,360.0,0.675029456615448
0,3,360.0,0.634074330329895
0,4,273.5,0.6194652915000916
0,5,273.5,0.6449547410011292
0,6,273.5,0.7021781802177429
0,7,273.5,0.7339456081390381
0,8,273.5,0.763132631778717
0,9,273.5,0.7418649792671204
0,10,273.5,0.7499982118606567
1,2,350.0,0.7883623838424683
1,3,350.0,0.8157998323440552
1,4,350.0,0.8824712634086609
1,5,291.5,0.753034770488739
1,6,291.5,0.7162073254585266
1,7,291.5,0.6940037608146667
1,8,291.5,0.6754931807518005
1,9,291.5,0.6897029280662537
1,10,237.5,0.642209529876709
2,2,310.5,0.7036396861076355
2,3,310.5,0.7859495878219604
2,4,310.5,0.8608673810958862
2,5,310.5,0.8544148206710815
2,6,310.5,0.8565965294837952
2,7,310.5,0.8291569352149963
2,8,310.5,0.8037818670272827
2,9,310.5,0.8126852512359619
2,10,310.5,0.8031665682792664
3,2,390.0,0.7085148692131042
3,3,350.0,0.8787158131599426
3,4,350.0,0.828644871711731
3,5,310.5,0.7681031823158264
3,6,310.5,0.7647398114204407
3,7,310.5,0.7425999641418457
3,8,310.5,0.7124668955802917
3,9,310.5,0.6800599098205566
3,10,310.0,0.6552107930183411
4,2,330.0,0.6048669815063477
4,3,330.0,0.7772464156150818
4,4,330.0,0.8485392928123474
4,5,330.0,0.84423828125
4,6,330.0,0.8786821961402893
4,7,330.0,0.8354727625846863
4,8,330.0,0.8204602599143982
4,9,330.0,0.8253701329231262
4,10,330.0,0.5865705609321594
5,2,370.0,0.6141510009765625
5,3,296.0,0.7751588821411133
5,4,296.0,0.872999370098114
5,5,296.0,0.8844619989395142
5,6,296.0,0.9062093496322632
5,7,296.0,0.8488393425941467
5,8,296.0,0.8382027745246887
5,9,296.0,0.8240086436271667
5,10,296.0,0.7871108055114746
6,2,360.0,0.7624996304512024
6,3,310.0,0.7869611978530884
6,4,310.0,0.7963475584983826
6,5,310.0,0.8053755760192871
6,6,310.0,0.8163061738014221
6,7,310.0,0.7803776264190674
6,8,310.0,0.8158605694770813
6,9,310.0,0.8379861116409302
6,10,310.0,0.8398413062095642
7,2,300.0,0.5880242586135864
7,3,300.0,0.7546596527099609
7,4,300.0,0.7734653949737549
7,5,300.0,0.7568078637123108
7,6,300.0,0.7908865213394165
7,7,300.0,0.7640330791473389
7,8,300.0,0.7809028625488281
7,9,270.0,0.6797000169754028
7,10,270.0,0.6662079095840454
8,2,350.0,0.8528140783309937
8,3,350.0,0.7740107178688049
8,4,330.5,0.8028646111488342
8,5,330.5,0.8495402932167053
8,6,330.5,0.8933946490287781
8,7,330.5,0.8766953945159912
8,8,330.5,0.8650948405265808
8,9,330.5,0.8322347402572632
8,10,330.5,0.8286172151565552
