chain,n_clusters,silhouette_score
0,2,0.5488425493240356
0,3,0.7131330966949463
0,4,0.6809758543968201
0,5,0.7559830546379089
0,6,0.7590682506561279
0,7,0.7721738219261169
0,8,0.7760657072067261
0,9,0.7745230197906494
0,10,0.7824350595474243
1,2,0.861687958240509
1,3,0.8493585586547852
1,4,0.7937663197517395
1,5,0.7357019782066345
1,6,0.6712278723716736
1,7,0.6938065886497498
1,8,0.7130513191223145
1,9,0.6914195418357849
1,10,0.6337170600891113
2,2,0.7176112532615662
2,3,0.7439485788345337
2,4,0.8620442152023315
2,5,0.893902599811554
2,6,0.85942143201828
2,7,0.8720815777778625
2,8,0.8527119159698486
2,9,0.82859867811203
2,10,0.6392508745193481
3,2,0.6096119284629822
3,3,0.6690062284469604
3,4,0.7364957928657532
3,5,0.7655624747276306
3,6,0.7612769603729248
3,7,0.7223058938980103
3,8,0.6932404637336731
3,9,0.6873806715011597
3,10,0.6675737500190735
4,2,0.77181476354599
4,3,0.7205823063850403
4,4,0.7187766432762146
4,5,0.7536919116973877
4,6,0.7945824265480042
4,7,0.849031388759613
4,8,0.8386859893798828
4,9,0.8324887156486511
4,10,0.5829210877418518
5,2,0.6943353414535522
5,3,0.7661179900169373
5,4,0.8296763896942139
5,5,0.8679984211921692
5,6,0.8515427112579346
5,7,0.8716846108436584
5,8,0.8003340363502502
5,9,0.8022785782814026
5,10,0.7835503220558167
6,2,0.6354449391365051
6,3,0.724094033241272
6,4,0.790322482585907
6,5,0.823141872882843
6,6,0.786212146282196
6,7,0.8129718899726868
6,8,0.8414486050605774
6,9,0.8527364730834961
6,10,0.6757224202156067
7,2,0.6183103919029236
7,3,0.672183632850647
7,4,0.7568619847297668
7,5,0.8167256712913513
7,6,0.7940597534179688
7,7,0.7805219888687134
7,8,0.7942035794258118
7,9,0.7784555554389954
7,10,0.6712266802787781
8,2,0.7845709919929504
8,3,0.8172667622566223
8,4,0.8756802082061768
8,5,0.8685908913612366
8,6,0.8004927039146423
8,7,0.7383403182029724
8,8,0.7624831199645996
8,9,0.7564774751663208
8,10,0.7410203814506531
9,2,0.806874692440033
9,3,0.8287278413772583
9,4,0.7560757398605347
9,5,0.7579831480979919
9,6,0.6132897734642029
9,7,0.6349639892578125
9,8,0.669178307056427
9,9,0.6854463219642639
9,10,0.6540641188621521
10,2,0.8413761854171753
10,3,0.8143355846405029
10,4,0.7513192296028137
10,5,0.767259955406189
10,6,0.8093270063400269
10,7,0.8411411046981812
10,8,0.6571010947227478
10,9,0.6756051778793335
10,10,0.6725428104400635
11,2,0.6200236082077026
11,3,0.6943098902702332
11,4,0.7260209918022156
11,5,0.7298898696899414
11,6,0.7555907368659973
11,7,0.8120849132537842
11,8,0.6853828430175781
11,9,0.6717595458030701
11,10,0.6854459047317505
12,2,0.7279900908470154
12,3,0.7048694491386414
12,4,0.5451366305351257
12,5,0.5463659763336182
12,6,0.5813061594963074
12,7,0.5698614716529846
12,8,0.61357581615448
12,9,0.625104546546936
12,10,0.6241929531097412
13,2,0.6852730512619019
13,3,0.7331812977790833
13,4,0.8136593699455261
13,5,0.8151072859764099
13,6,0.8094673156738281
13,7,0.8057190179824829
13,8,0.8159610033035278
13,9,0.7992807626724243
13,10,0.8135572075843811
14,2,0.7182439565658569
14,3,0.9049543738365173
14,4,0.8402276039123535
14,5,0.8364303708076477
14,6,0.8300595283508301
14,7,0.7709543704986572
14,8,0.6734638214111328
14,9,0.6621991395950317
14,10,0.688345730304718
15,2,0.77584308385849
15,3,0.6697329878807068
15,4,0.6757962703704834
15,5,0.7524832487106323
15,6,0.7538545727729797
