UMAP1,UMAP2,UMAP3,UMAP4,UMAP5,UMAP6,UMAP7,UMAP8,UMAP9,UMAP10,UMAP11,UMAP12,UMAP13,UMAP14,UMAP15,temp
7.533875,13.402012,1.6788974,5.847939,2.785454,3.5370643,1.4649682,-0.017205443,6.353011,-1.352521,5.388661,4.1143694,4.261067,0.63130206,7.9922338,200.0
7.560951,13.352823,1.4834826,5.7866187,2.7367165,3.681,1.3681977,-0.1536198,6.517818,-1.4132012,5.272784,4.2404685,3.9990396,0.52291256,7.8918476,200.5
7.534561,13.405742,1.7094119,5.824418,2.7487557,3.5558326,1.439419,-0.020485867,6.3981113,-1.3490396,5.3372254,4.1621513,4.225272,0.5553737,7.9304876,201.0
7.6851864,13.261828,1.4671979,5.879361,2.842823,3.645041,1.4580561,-0.17885739,6.495651,-1.4757556,5.302891,4.099041,4.1074476,0.7300522,8.135831,201.5
7.640408,13.43098,1.5168082,5.9099,2.6549892,3.6601288,1.4195119,-0.090668164,6.4845014,-1.4150484,5.2336116,4.1277156,4.132025,0.5662924,7.949162,202.0
7.657788,13.322681,1.6554878,5.8037558,2.7739372,3.5344043,1.4168711,-0.02070394,6.3747044,-1.2834437,5.3634214,4.1069117,4.330136,0.7539073,8.107181,202.5
7.6408224,13.404194,1.5656781,5.8908577,2.6850212,3.588915,1.427083,-0.06967003,6.4143257,-1.34459,5.329945,4.025466,4.299159,0.7213879,8.110159,203.0
7.6586056,13.366443,1.4319718,5.823552,2.5972228,3.693238,1.3010776,-0.19952244,6.5254116,-1.3547056,5.176752,4.2156677,4.0046268,0.51159614,7.859492,203.5
7.673775,13.451663,1.494486,5.9775167,2.8130457,3.6373653,1.4846361,0.053097215,6.426407,-1.451501,5.3803883,4.014108,4.2908816,0.8173809,8.145429,204.0
7.6293864,13.470921,1.5902697,5.9310713,2.6324375,3.5700784,1.4139808,-0.027528882,6.3678303,-1.3105814,5.3143077,4.0174193,4.316884,0.6746802,8.024882,204.5
7.584817,13.550998,1.5898442,6.02972,2.599001,3.5599947,1.4463446,0.009480853,6.308099,-1.3257021,5.3011284,3.9573662,4.32187,0.6261608,7.9591975,205.0
7.5744567,13.403334,1.6999949,5.948469,2.8155742,3.5002813,1.5476564,-0.029357709,6.2812986,-1.3785099,5.3780723,3.9875653,4.3801303,0.6810091,8.094728,205.5
7.6328473,13.463063,1.567594,5.867617,2.5605922,3.6275342,1.3093903,-0.057422973,6.427715,-1.2852422,5.232019,4.117583,4.2354784,0.57681453,7.920957,206.0
7.6155133,13.42368,1.5849407,5.8621364,2.610821,3.5562773,1.3538709,-0.07031781,6.348125,-1.245913,5.2948008,4.077605,4.301626,0.63651013,7.974889,206.5
7.6414766,13.469112,1.6405777,5.9121175,2.5778794,3.57278,1.4195292,-0.046915103,6.409059,-1.333987,5.2304373,4.0798335,4.2714643,0.5387874,7.9316955,207.0
7.618942,13.463663,1.5451611,5.9173155,2.5290308,3.6371548,1.3373747,-0.14963108,6.420231,-1.3300585,5.166219,4.1164083,4.1235027,0.46358275,7.823482,207.5
7.655516,13.365484,1.6400653,5.9730763,2.6482937,3.5467522,1.4658433,-0.19888277,6.3638673,-1.355373,5.2071276,4.031795,4.1938615,0.55800086,7.9520392,208.0
7.6619,13.5434065,1.6113986,6.1107755,2.6019545,3.5853364,1.5630403,-0.03411627,6.355268,-1.4531432,5.213017,3.9277658,4.291346,0.5544678,7.947226,208.5
7.6645017,13.543329,1.584165,6.007477,2.5498154,3.630309,1.425301,-0.013342568,6.4262004,-1.3745668,5.2174907,4.022128,4.2527876,0.5728844,7.938268,209.0
7.661156,13.570884,1.5521593,6.024079,2.6305373,3.6277528,1.502369,0.047024198,6.4321003,-1.4347966,5.307118,3.9393854,4.335859,0.7196439,8.110717,209.5
7.5878963,13.50103,1.510244,5.9796915,2.684145,3.6874416,1.4660262,-0.0547087,6.4868608,-1.4985578,5.2470183,4.0907536,4.1143723,0.5295065,7.9385533,210.0
7.6187387,13.526542,1.4907051,5.933958,2.685057,3.712139,1.4469061,0.05192505,6.5415444,-1.4790949,5.2999783,4.0423927,4.206761,0.68375814,8.069778,210.5
7.643141,13.452638,1.6681736,5.8540287,2.5837624,3.6081672,1.3664268,0.038889494,6.467677,-1.2809074,5.2754498,4.093259,4.32299,0.64397347,8.0233755,211.0
7.731395,13.274911,1.5422022,5.793457,2.8471847,3.5859156,1.4157187,-0.012739066,6.4491386,-1.3358423,5.387302,4.1080794,4.2898746,0.88311625,8.228699,211.5
7.628933,13.299248,1.4940761,5.745995,2.672582,3.6821942,1.3083974,-0.18888398,6.554595,-1.3590655,5.2161117,4.274534,3.9939067,0.5209622,7.8872523,212.0
7.5785985,13.481425,1.6117092,5.828745,2.6122375,3.6318407,1.3628706,0.041358363,6.47263,-1.3139511,5.293119,4.1295023,4.245294,0.59807736,7.962429,212.5
7.545516,13.448444,1.6923529,5.845214,2.6931818,3.5819912,1.385734,-0.013848731,6.4049654,-1.3556021,5.3055634,4.186535,4.215521,0.52827233,7.886819,213.0
7.6290393,13.04863,1.7965215,5.6070995,3.0452778,3.4255283,1.4984205,-0.12855242,6.38811,-1.3104787,5.449669,4.3819456,4.074357,0.71416086,8.039377,213.5
7.780026,12.919802,1.5142814,5.634698,3.0564442,3.618026,1.4294658,-0.31759635,6.596085,-1.467972,5.346795,4.292319,3.9729612,0.8385068,8.248996,214.0
7.6214814,12.933301,1.7330722,5.5619254,3.156152,3.4494224,1.5355479,-0.20276387,6.3714623,-1.3207562,5.447166,4.251766,4.2015786,0.78682667,8.23293,214.5
7.5895414,12.982184,1.9019879,5.6130304,3.0497844,3.3135376,1.5884488,-0.28278458,6.2619047,-1.2455776,5.457319,4.279896,4.264035,0.6147203,8.037095,215.0
7.7843127,12.8717785,1.3909465,5.5397363,3.1185129,3.6479037,1.4820637,-0.29409507,6.6866164,-1.4822469,5.392715,4.3673773,3.8777235,0.908127,8.31874,215.5
7.857118,12.931916,1.515918,5.512196,2.87579,3.4907508,1.4899656,-0.30828527,6.590769,-1.2844381,5.3770757,4.234968,4.1189814,0.9492907,8.3626585,216.0
7.7343636,12.964145,1.765108,5.6073103,3.0800052,3.3232048,1.5315613,-0.20163809,6.2609315,-1.1971712,5.4966717,4.247616,4.281873,0.89842,8.26683,216.5
7.802092,12.814304,1.7082345,5.5006056,3.0251067,3.404759,1.5499676,-0.38424298,6.454875,-1.270775,5.331522,4.248656,4.123174,0.79052484,8.285804,217.0
7.7736645,12.8434725,1.7066234,5.5617332,3.2196658,3.5013385,1.542375,-0.15313694,6.478462,-1.3942375,5.404441,4.3795543,4.058112,0.8571176,8.256347,217.5
7.643224,12.899343,1.9525589,5.586041,3.139014,3.3728008,1.5513047,-0.22487132,6.337856,-1.3205615,5.401822,4.31762,4.174659,0.65662766,8.087423,218.0
7.826841,12.82989,1.9836859,5.5776973,3.1615071,3.4183505,1.4276276,-0.11167366,6.3750963,-1.3210616,5.360455,4.3120522,4.2304883,0.8783524,8.269817,218.5
7.8550715,12.84598,1.8962169,5.5119953,2.9177637,3.2853298,1.5085655,-0.25682735,6.384307,-1.1714342,5.391737,4.1639895,4.3019857,0.93901724,8.356715,219.0
7.863065,12.697761,1.7431343,5.481564,3.0923243,3.4747965,1.4844679,-0.44802007,6.4745407,-1.3449073,5.274905,4.275973,4.127849,0.82168853,8.368223,219.5
7.644076,12.897311,1.7076395,5.505477,3.148194,3.459543,1.474141,-0.19613524,6.4367537,-1.300537,5.4736013,4.4392443,4.041495,0.7929235,8.121065,220.0
7.674738,12.880254,1.8831432,5.53743,3.1801398,3.2780054,1.5579246,-0.10878364,6.2493534,-1.1545268,5.556071,4.241721,4.3745713,0.9162087,8.275242,220.5
7.732852,12.797546,1.5926907,5.3807144,2.9838166,3.4344327,1.4069865,-0.4231881,6.52364,-1.2110937,5.432846,4.432635,3.9910398,0.8433053,8.187041,221.0
7.742108,12.778609,1.5183703,5.5009146,3.1567895,3.4853356,1.5443357,-0.38054663,6.4899917,-1.3405299,5.478127,4.3112283,4.142488,0.8969443,8.325033,221.5
7.625255,12.901483,1.8585436,5.499849,3.1544864,3.2917762,1.5592363,-0.15375635,6.359448,-1.218098,5.5693164,4.3251586,4.1341896,0.88511807,8.1944,222.0
7.690698,12.861045,1.7736375,5.4989204,3.0417442,3.3046024,1.5065393,-0.36876956,6.24564,-1.1319698,5.4733176,4.20205,4.411116,0.83761144,8.298445,222.5
7.6606827,12.798643,1.83903,5.49424,3.2640536,3.3447845,1.5688512,-0.19397317,6.3299212,-1.2625014,5.5270805,4.3415194,4.207626,0.85791206,8.241834,223.0
7.61361,13.1033,1.6020569,5.7104263,3.118944,3.491959,1.5622516,-0.15091519,6.312989,-1.36412,5.4837165,4.1110187,4.3398595,0.85840446,8.323208,223.5
7.623681,13.019996,1.8494195,5.6057143,3.0520802,3.3142846,1.5119522,-0.14505959,6.19137,-1.148684,5.489955,4.1702,4.4471874,0.80638474,8.2123,224.0
7.7735,12.846428,1.1810575,5.5207424,3.0885863,3.7727964,1.3972309,-0.45281857,6.788259,-1.5420465,5.3342133,4.3712544,3.7381527,0.87080944,8.309662,224.5
7.7503276,13.264119,1.2903773,5.7836776,2.8658123,3.766586,1.4327306,-0.104070425,6.6703587,-1.5356677,5.3368006,4.1440444,4.06009,0.89169365,8.289876,225.0
7.849782,12.887414,1.594897,5.462057,2.9496405,3.4685283,1.5233251,-0.21585196,6.5550165,-1.2499332,5.3745914,4.3081403,4.110894,0.92343616,8.326587,225.5
7.81255,12.874189,1.6702938,5.416748,2.875154,3.3642087,1.4734817,-0.26831946,6.444847,-1.1083794,5.445651,4.1965127,4.334987,1.0168959,8.430379,226.0
7.838489,12.718873,1.8108467,5.5179167,3.2377114,3.4498334,1.4887507,-0.25634027,6.469749,-1.3651425,5.3745465,4.310465,4.1263247,0.8947488,8.338047,226.5
7.696561,12.983436,1.7471195,5.631492,3.1879253,3.4656103,1.4733483,-0.060274366,6.3339925,-1.3049126,5.4701834,4.199494,4.3449383,0.90964377,8.303782,227.0
7.805231,12.929527,1.7866967,5.528683,3.0263522,3.408553,1.4166725,-0.092760816,6.4554567,-1.235869,5.4385223,4.3573337,4.1233788,0.93655133,8.216472,227.5
7.6592383,13.193143,1.6353887,5.6839848,2.9721966,3.4581697,1.4263854,0.0022836889,6.2906914,-1.2027495,5.512995,4.1528916,4.4105124,0.95227325,8.266055,228.0
7.7381845,12.97859,1.8393829,5.468873,2.8880017,3.2960324,1.4104728,-0.045087334,6.327541,-1.0203596,5.503948,4.27709,4.357317,0.97427064,8.236817,228.5
7.625924,12.83852,1.8204783,5.469868,3.2054918,3.4085393,1.5160207,-0.17838262,6.384102,-1.2657024,5.4586043,4.438187,4.0843787,0.74431634,8.093436,229.0
7.6722436,12.841306,1.8814945,5.495596,3.1814613,3.3089414,1.413219,-0.26397383,6.2142825,-1.137032,5.488553,4.3564115,4.300116,0.82092303,8.188152,229.5
7.7161207,12.78932,1.8841499,5.488667,3.2508092,3.340988,1.4805273,-0.22197379,6.2470536,-1.1838926,5.4395967,4.3753448,4.2734866,0.79870266,8.199085,230.0
7.660558,13.005075,1.8548099,5.506572,2.9392545,3.2892227,1.4619331,-0.034635253,6.316059,-1.0637362,5.525347,4.312325,4.2540455,0.8966242,8.132353,230.5
7.6680727,12.993314,1.7495097,5.5187707,3.0005643,3.4813936,1.4685078,-0.025202585,6.4867196,-1.2923192,5.501078,4.278854,4.2487674,0.9763372,8.310415,231.0
7.641885,12.917915,1.8086871,5.434873,3.114399,3.3182704,1.4645838,-0.0053933784,6.3278236,-1.0978862,5.6092143,4.4101357,4.22335,0.9946557,8.21342,231.5
7.650656,12.773165,1.9288859,5.512076,3.2678692,3.2835941,1.60953,-0.2811759,6.2541275,-1.2417877,5.488204,4.3116913,4.245574,0.7527291,8.187664,232.0
7.705718,12.87387,1.3948227,5.5852637,3.2182481,3.6433675,1.5279064,-0.3246946,6.591987,-1.492179,5.4089193,4.2890863,3.9942956,0.8480845,8.335145,232.5
7.8008175,12.858573,1.9252424,5.4754066,3.0617397,3.3399727,1.3637652,-0.15802659,6.3024983,-1.1441338,5.4571924,4.393376,4.314176,0.94666505,8.254607,233.0
7.64387,12.9273205,1.84502,5.574772,3.2734165,3.3227081,1.5228127,-0.044499747,6.2135515,-1.197258,5.590006,4.298923,4.3455887,0.9287225,8.241102,233.5
7.5828958,13.164007,1.8811353,5.693582,2.931529,3.3144453,1.5168312,-0.132093,6.1971126,-1.1731061,5.4631715,4.2018385,4.3876185,0.6422645,8.026369,234.0
7.6539073,13.015211,1.8384452,5.495112,2.980697,3.2856526,1.3708986,-0.092763655,6.1581383,-0.99438643,5.571422,4.2978964,4.4824343,0.9902525,8.252638,234.5
7.825945,12.856932,2.036468,5.541455,3.1421533,3.3295,1.4445593,-0.044030566,6.327564,-1.2388197,5.4385433,4.3206544,4.2792087,0.95009047,8.270704,235.0
7.687123,12.921162,1.8149296,5.5196543,3.0550423,3.293362,1.4600643,-0.2272022,6.183426,-1.065852,5.4909678,4.167646,4.5367804,0.89241666,8.3222275,235.5
7.7659006,12.869343,1.9539746,5.5340323,3.104334,3.2405798,1.5121188,-0.0937409,6.230198,-1.1080507,5.517415,4.237387,4.4046745,0.9656651,8.297052,236.0
7.9131465,12.697556,1.8538032,5.506634,3.108189,3.4617243,1.3729124,-0.35717824,6.450785,-1.3219242,5.2755876,4.3271523,4.143897,0.878657,8.343779,236.5
7.7359834,12.922101,1.6607629,5.648228,2.955678,3.3871856,1.5979568,-0.49926326,6.3521404,-1.298064,5.370714,4.2097487,4.2317586,0.67586637,8.174196,237.0
7.5642476,13.181166,1.7847533,5.690449,2.9733357,3.3120155,1.4743826,-0.06723026,6.093834,-1.0938486,5.5305905,4.127182,4.503411,0.8400336,8.17838,237.5
7.553048,13.072621,1.9522749,5.667141,3.0991783,3.3880556,1.5829482,-0.038166363,6.3320312,-1.3427296,5.471594,4.2655387,4.209594,0.6801881,8.039175,238.0
7.7827344,12.889971,1.4062265,5.6357026,3.1245675,3.7033246,1.3469268,-0.34866825,6.640469,-1.5092406,5.349368,4.297302,3.9126296,0.8842492,8.297678,238.5
7.8583326,12.917923,1.5466661,5.6409607,3.13933,3.584046,1.4086353,-0.13537623,6.534981,-1.3950915,5.399548,4.272112,4.108341,0.9958847,8.360603,239.0
7.900005,12.912461,1.7174867,5.6472306,3.109992,3.4033084,1.5236104,-0.108747564,6.412287,-1.3131464,5.4845543,4.190831,4.2539334,1.1016345,8.44429,239.5
7.902196,12.787538,1.5527446,5.4600143,2.976695,3.5624995,1.4207001,-0.35144186,6.6646256,-1.3486347,5.2668505,4.411995,3.8788764,0.8308325,8.234626,240.0
7.6364074,12.7775135,1.8625964,5.434863,3.1970377,3.3543184,1.4432392,-0.3110383,6.2907867,-1.2050183,5.4931865,4.4117565,4.2203374,0.80939674,8.193856,240.5
7.8402634,12.998306,1.4973643,5.4768286,2.788089,3.5087233,1.3644508,-0.20425226,6.5263343,-1.149722,5.4064965,4.194391,4.32207,1.051163,8.426849,241.0
7.7103558,12.83691,1.8540372,5.3898773,3.0953364,3.2773688,1.4442087,-0.091065496,6.291037,-1.0431863,5.5819173,4.3293095,4.377811,1.050041,8.332909,241.5
7.5903473,12.8254,2.0093133,5.481078,3.2780614,3.332249,1.516199,-0.11224631,6.2842283,-1.2596668,5.538329,4.30929,4.30335,0.85521436,8.241592,242.0
7.668473,12.869614,1.584644,5.5686316,3.0380223,3.550738,1.3545998,-0.48780364,6.4801702,-1.3723582,5.368433,4.2765284,4.0207825,0.7764803,8.240362,242.5
7.7555385,12.977585,1.8838722,5.5145926,2.9537294,3.2456005,1.4170034,-0.054447394,6.2016563,-0.9854712,5.5268316,4.2180552,4.506242,1.0049338,8.289775,243.0
7.684218,12.770841,1.8103575,5.3863363,3.031466,3.2704325,1.5066912,-0.40699592,6.2916813,-1.0858452,5.459304,4.2282734,4.3679795,0.8305714,8.303542,243.5
7.6032825,12.986293,1.6799713,5.655511,3.301176,3.4229512,1.5000999,-0.123133436,6.1607885,-1.247118,5.5542455,4.146822,4.4994373,0.90084666,8.324598,244.0
