chain,best_n_clusters,best_silhouette_score,best_Tg
0,5,0.8387999534606934,
1,5,0.7843397259712219,430.0
2,6,0.8445871472358704,330.0
3,2,0.8365440368652344,
4,2,0.8116913437843323,360.0
5,7,0.8218547701835632,400.0
6,2,0.7681385278701782,400.0
7,9,0.819793164730072,290.0
8,4,0.8532682061195374,360.0
9,8,0.8400443196296692,350.0
10,4,0.8889158368110657,350.0
11,6,0.8484610915184021,340.0
12,5,0.8314539194107056,350.5
13,2,0.8620973825454712,352.0
14,2,0.8609704375267029,330.0
15,4,0.843605101108551,350.0
16,9,0.7751912474632263,330.0
17,10,0.8177858591079712,290.0
18,3,0.8697932958602905,340.0
19,6,0.8326833248138428,330.0
20,3,0.846173107624054,330.0
21,6,0.8892911672592163,330.0
22,5,0.8656154274940491,330.0
23,8,0.8796396851539612,341.5
24,4,0.8478938937187195,330.0
