UMAP1,UMAP2,temp
-13.157363,-5.7226477,200.0
-13.569557,-5.756278,200.5
-13.544946,-5.660036,201.0
-13.99412,-5.591568,201.5
-13.648309,-5.942938,202.0
-12.87308,-6.8739247,202.5
-12.995763,-6.9378943,203.0
-12.751555,-6.8175564,203.5
-13.140664,-7.025478,204.0
-12.93293,-6.7787685,204.5
-12.781991,-6.788913,205.0
-12.762203,-6.947634,205.5
-12.686945,-6.8577743,206.0
-12.826275,-6.817534,206.5
-13.042157,-6.884559,207.0
-13.082166,-7.095388,207.5
-14.106113,-6.0812507,208.0
-13.619369,-6.080283,208.5
-13.76908,-5.6321673,209.0
-14.021073,-5.9217086,209.5
-13.137963,-5.6887665,210.0
-13.427849,-6.240458,210.5
-13.664158,-5.3664865,211.0
-13.45074,-5.4870715,211.5
-13.31794,-6.0116267,212.0
-13.14934,-6.343746,212.5
-12.802694,-6.9001093,213.0
-13.699846,-5.674196,213.5
-13.268913,-5.902741,214.0
-12.876384,-6.7163825,214.5
-13.300778,-5.7931795,215.0
-12.801933,-6.1799893,215.5
-13.58767,-5.793932,216.0
-13.916478,-5.6665735,216.5
-13.491499,-6.349963,217.0
-14.077187,-5.7238173,217.5
-14.166249,-5.9127584,218.0
-13.714368,-5.343105,218.5
-13.093304,-5.576125,219.0
-13.04241,-6.1350284,219.5
-13.797416,-5.718788,220.0
-13.280927,-5.9215198,220.5
-14.211147,-5.600287,221.0
-13.504208,-5.9360113,221.5
-13.907925,-5.43915,222.0
-14.074498,-5.6039715,222.5
-13.32164,-6.164085,223.0
-13.225407,-5.635104,223.5
-13.996225,-7.0516953,224.0
-14.071298,-6.3403425,224.5
-13.591537,-6.4500046,225.0
-13.486092,-6.0624948,225.5
-12.956637,-6.718435,226.0
-12.902431,-6.75975,226.5
-13.898379,-6.676529,227.0
-13.577764,-6.908685,227.5
-13.994903,-5.272796,228.0
-13.160339,-5.8835783,228.5
-13.242123,-5.5546327,229.0
-13.12222,-6.997491,229.5
-13.215875,-6.8841853,230.0
-12.945713,-7.1268063,230.5
-13.318182,-5.53553,231.0
-13.9417515,-6.887141,231.5
-13.736375,-5.932536,232.0
-13.518764,-6.2782817,232.5
-13.871584,-6.7152944,233.0
-13.1478,-5.541697,233.5
-13.986129,-5.708249,234.0
-14.140396,-5.973446,234.5
-13.576159,-6.2625794,235.0
-13.51088,-5.2943277,235.5
-14.017395,-5.6176295,236.0
-14.119876,-5.7795815,236.5
-13.183508,-5.5755496,237.0
-13.719521,-6.128413,237.5
-14.198747,-5.452072,238.0
-14.189837,-6.1044726,238.5
-14.288152,-5.6855125,239.0
-13.823581,-6.6604686,239.5
-14.121529,-6.882759,240.0
-13.220911,-5.9669957,240.5
-13.335975,-6.0459247,241.0
-12.83278,-6.881644,241.5
-12.826676,-6.5049067,242.0
-13.461131,-6.394707,242.5
-13.028697,-6.9502845,243.0
-14.056693,-6.3882904,243.5
-14.002853,-6.7936296,244.0
-14.299959,-5.6586657,244.5
-14.375813,-5.960122,245.0
-14.187333,-5.8327055,245.5
-13.496189,-6.2326665,246.0
-12.799131,-6.92654,246.5
-13.819744,-6.116251,247.0
-14.52157,-5.975883,247.5
-14.491714,-5.4389257,248.0
-13.557842,-6.7877293,248.5
-13.9346895,-5.622873,249.0
-12.676437,-6.978622,249.5
-13.529396,-5.581571,250.0
-14.033284,-6.5156865,250.5
-14.28083,-6.260026,251.0
-14.0750265,-6.7618985,251.5
-13.541812,-5.610402,252.0
-14.511335,-6.6597037,252.5
-14.068376,-5.822364,253.0
-13.040007,-5.951409,253.5
-14.054883,-7.1199684,254.0
-13.862721,-6.113276,254.5
-14.153558,-5.894543,255.0
-13.865038,-5.3716264,255.5
-14.476024,-6.089965,256.0
-14.213655,-5.913858,256.5
-13.986657,-5.519004,257.0
-12.898319,-6.06842,257.5
-14.270517,-5.851847,258.0
