chain,best_n_clusters,best_silhouette_score,best_Tg
0,2,0.5765772461891174,369.0
1,6,0.8809788823127747,340.0
2,2,0.9028582572937012,382.5
3,2,0.5337146520614624,353.5
4,5,0.8587626218795776,340.0
5,6,0.9167047739028931,333.5
6,3,0.7894174456596375,
7,6,0.8060426115989685,320.5
8,5,0.8323062062263489,233.5
9,2,0.526775062084198,366.0
10,5,0.8303022384643555,340.0
11,2,0.7612785696983337,373.0
12,2,0.6873078942298889,350.0
13,4,0.8415287733078003,370.0
14,4,0.7495573163032532,330.5
15,2,0.7875116467475891,370.5
16,10,0.5662525296211243,400.0
17,3,0.8035629987716675,380.0
18,3,0.7516913414001465,353.0
19,10,0.6971118450164795,400.0
20,3,0.842147946357727,
21,2,0.7233957648277283,
22,2,0.6633872389793396,205.0
23,2,0.6576382517814636,293.5
24,2,0.45154839754104614,
