chain,n_clusters,silhouette_score
0,2,0.8848882913589478
0,3,0.7214362621307373
0,4,0.8000164031982422
0,5,0.6959314942359924
0,6,0.6809053421020508
0,7,0.6757034659385681
0,8,0.6760256290435791
0,9,0.6736547946929932
0,10,0.6711240410804749
1,2,0.8967380523681641
1,3,0.6560767292976379
1,4,0.6800905466079712
1,5,0.40962979197502136
1,6,0.42451897263526917
1,7,0.4605031907558441
1,8,0.4606620669364929
1,9,0.4404658377170563
1,10,0.4512309432029724
2,2,0.7689001560211182
2,3,0.5912322402000427
2,4,0.6433916091918945
2,5,0.49815958738327026
2,6,0.5079056024551392
2,7,0.5110945105552673
2,8,0.4948479235172272
2,9,0.47674575448036194
2,10,0.4641909599304199
3,2,0.7959659695625305
3,3,0.7872613072395325
3,4,0.718607485294342
3,5,0.7695000767707825
3,6,0.7078047394752502
3,7,0.6793293356895447
3,8,0.6853727698326111
3,9,0.6403144598007202
3,10,0.6533977389335632
4,2,0.6567786335945129
4,3,0.7962678074836731
4,4,0.8269582986831665
4,5,0.7693811655044556
4,6,0.6317967176437378
4,7,0.6351655721664429
4,8,0.5882932543754578
4,9,0.6113330721855164
4,10,0.6292708516120911
5,2,0.6653360724449158
5,3,0.6581860780715942
5,4,0.5816303491592407
5,5,0.5745314359664917
5,6,0.5520878434181213
5,7,0.5735584497451782
5,8,0.5761153697967529
5,9,0.571014940738678
5,10,0.5804722905158997
6,2,0.6258235573768616
6,3,0.6613544821739197
6,4,0.6383722424507141
6,5,0.6150206923484802
6,6,0.635958731174469
6,7,0.5872735977172852
6,8,0.5913878083229065
6,9,0.6109435558319092
6,10,0.5521004796028137
7,2,0.4512144923210144
7,3,0.48553264141082764
7,4,0.3889530301094055
7,5,0.3987657427787781
7,6,0.383270800113678
7,7,0.35959938168525696
7,8,0.3636813461780548
7,9,0.3590945899486542
7,10,0.36156412959098816
8,2,0.7448588013648987
8,3,0.8045715093612671
8,4,0.8637092113494873
8,5,0.800234854221344
8,6,0.7953664064407349
8,7,0.8307160139083862
8,8,0.8214989304542542
8,9,0.8267364501953125
8,10,0.6343501806259155
9,2,0.5788667798042297
9,3,0.6450982093811035
9,4,0.6836825609207153
9,5,0.6700007915496826
9,6,0.5231465697288513
9,7,0.5122018456459045
9,8,0.5135530829429626
9,9,0.5049967765808105
9,10,0.5204979777336121
10,2,0.6707645654678345
10,3,0.7719104290008545
10,4,0.7134933471679688
10,5,0.6872313022613525
10,6,0.6727508902549744
10,7,0.6507601141929626
10,8,0.5590542554855347
10,9,0.5639537572860718
10,10,0.5662704110145569
11,2,0.8514127731323242
11,3,0.8099504113197327
11,4,0.8075821995735168
11,5,0.822270393371582
11,6,0.8305577039718628
11,7,0.8343706130981445
11,8,0.843350887298584
11,9,0.6404924988746643
11,10,0.6547551155090332
12,2,0.4456973969936371
12,3,0.559806764125824
12,4,0.5662559866905212
12,5,0.43734949827194214
12,6,0.45819857716560364
12,7,0.44855207204818726
12,8,0.44903260469436646
12,9,0.41287314891815186
12,10,0.42436346411705017
13,2,0.6020351648330688
13,3,0.5157091617584229
13,4,0.5660614967346191
13,5,0.5253268480300903
13,6,0.507912814617157
13,7,0.5180163979530334
13,8,0.48757103085517883
13,9,0.5054090023040771
13,10,0.4987937808036804
14,2,0.5205850005149841
14,3,0.5842685103416443
14,4,0.5974893569946289
14,5,0.6034668684005737
14,6,0.5831441283226013
14,7,0.5997487306594849
14,8,0.5952089428901672
14,9,0.58305424451828
14,10,0.5539432168006897
15,2,0.7374222874641418
15,3,0.7652736902236938
15,4,0.7807193994522095
15,5,0.7522523403167725
15,6,0.7718188762664795
15,7,0.7310135364532471
15,8,0.771178662776947
15,9,0.7754509449005127
15,10,0.7970387935638428
16,2,0.8004716038703918
16,3,0.7754722237586975
16,4,0.5476821660995483
16,5,0.5621487498283386
16,6,0.5735704898834229
16,7,0.5661742687225342
16,8,0.5245506763458252
16,9,0.5349353551864624
16,10,0.49552032351493835
17,2,0.6801262497901917
17,3,0.7788986563682556
17,4,0.8421533107757568
17,5,0.7540414333343506
17,6,0.7547256946563721
17,7,0.6570277810096741
17,8,0.6701622009277344
17,9,0.6832786202430725
17,10,0.6607253551483154
18,2,0.4392879009246826
18,3,0.49486806988716125
18,4,0.5362127423286438
18,5,0.5643637776374817
18,6,0.5698061585426331
18,7,0.5905282497406006
18,8,0.6070762872695923
18,9,0.5960263013839722
18,10,0.6257277727127075
19,2,0.6748055219650269
19,3,0.720628559589386
19,4,0.7947629690170288
19,5,0.8057734370231628
19,6,0.7926691770553589
19,7,0.7741140723228455
19,8,0.7080634832382202
19,9,0.6979696750640869
19,10,0.7082571387290955
20,2,0.6574242115020752
20,3,0.702098548412323
20,4,0.6088666319847107
20,5,0.6427444815635681
20,6,0.7374196648597717
20,7,0.7842636108398438
20,8,0.7850216627120972
20,9,0.6472557187080383
20,10,0.6470966339111328
21,2,0.694477379322052
21,3,0.5083547830581665
21,4,0.38702940940856934
21,5,0.3457832634449005
21,6,0.36555033922195435
21,7,0.34407150745391846
21,8,0.34419310092926025
21,9,0.3597663342952728
21,10,0.3484054207801819
22,2,0.6170942783355713
22,3,0.482502818107605
22,4,0.46774956583976746
22,5,0.34205010533332825
22,6,0.3403139114379883
22,7,0.33928826451301575
22,8,0.33538421988487244
22,9,0.35151198506355286
22,10,0.3502984941005707
23,2,0.6251717805862427
23,3,0.4526035487651825
23,4,0.3902107775211334
23,5,0.3853418529033661
23,6,0.35793304443359375
23,7,0.3509676158428192
23,8,0.3633279800415039
23,9,0.37352022528648376
23,10,0.3745496869087219
24,2,0.6030609607696533
24,3,0.42760053277015686
24,4,0.4155008792877197
24,5,0.43118515610694885
24,6,0.36553338170051575
24,7,0.3530588746070862
24,8,0.3396548926830292
24,9,0.3343045711517334
24,10,0.32707124948501587
