chain,n_clusters,silhouette_score
0,2,0.637855052947998
0,3,0.7212345600128174
0,4,0.7814346551895142
0,5,0.8338099122047424
0,6,0.7915312051773071
0,7,0.7657189965248108
0,8,0.7565199136734009
0,9,0.7463099956512451
0,10,0.7544367909431458
1,2,0.6770414113998413
1,3,0.6760858297348022
1,4,0.7505124807357788
1,5,0.7723731994628906
1,6,0.7758796215057373
1,7,0.8037137985229492
1,8,0.773439884185791
1,9,0.7456851005554199
1,10,0.768702507019043
2,2,0.7790558934211731
2,3,0.836090624332428
2,4,0.7685715556144714
2,5,0.7705984711647034
2,6,0.5746533870697021
2,7,0.5764708518981934
2,8,0.5973836779594421
2,9,0.6165831685066223
2,10,0.6387816667556763
3,2,0.7078379988670349
3,3,0.815072238445282
3,4,0.8725303411483765
3,5,0.7955729961395264
3,6,0.8016182780265808
3,7,0.8424292802810669
3,8,0.8157044053077698
3,9,0.5982078909873962
3,10,0.6709983944892883
4,2,0.6507024168968201
4,3,0.8123132586479187
4,4,0.837516725063324
4,5,0.883358895778656
4,6,0.842824399471283
4,7,0.8488202691078186
4,8,0.8743236660957336
4,9,0.8357774615287781
4,10,0.7483214139938354
5,2,0.7442141771316528
5,3,0.7436168789863586
5,4,0.7904752492904663
5,5,0.7875969409942627
5,6,0.7770444750785828
5,7,0.6545437574386597
5,8,0.6945784091949463
5,9,0.6660716533660889
5,10,0.6740347146987915
6,2,0.7047383189201355
6,3,0.7183871865272522
6,4,0.7382097840309143
6,5,0.7995591163635254
6,6,0.8091950416564941
6,7,0.7988265752792358
6,8,0.6934469938278198
6,9,0.6871368288993835
6,10,0.6784294247627258
7,2,0.7771094441413879
7,3,0.8287034630775452
7,4,0.7857561707496643
7,5,0.8075023889541626
7,6,0.61690753698349
7,7,0.6381735801696777
7,8,0.6022982001304626
7,9,0.6074267625808716
7,10,0.6146466732025146
8,2,0.634715735912323
8,3,0.701115071773529
8,4,0.8010659217834473
8,5,0.8286296129226685
8,6,0.8296001553535461
8,7,0.7834940552711487
8,8,0.7781785726547241
8,9,0.7873703241348267
8,10,0.7351523637771606
9,2,0.6928412914276123
9,3,0.8509781360626221
9,4,0.8663839101791382
9,5,0.8300409317016602
9,6,0.8131893873214722
9,7,0.7439317107200623
9,8,0.7696947455406189
9,9,0.7203683853149414
9,10,0.7392213344573975
10,2,0.697655975818634
10,3,0.6619263887405396
10,4,0.5397742390632629
10,5,0.5453189611434937
10,6,0.5354170203208923
10,7,0.44838497042655945
10,8,0.4611779749393463
10,9,0.4381425976753235
10,10,0.45874252915382385
11,2,0.6250380873680115
11,3,0.7290983200073242
11,4,0.761688232421875
11,5,0.7756062150001526
11,6,0.7167490124702454
11,7,0.7341326475143433
11,8,0.7382626533508301
11,9,0.6386085748672485
11,10,0.6326349973678589
12,2,0.6641718149185181
12,3,0.8120118975639343
12,4,0.8505624532699585
12,5,0.7710579633712769
12,6,0.5368293523788452
12,7,0.5533191561698914
12,8,0.5301709771156311
12,9,0.5406137704849243
12,10,0.5512998700141907
13,2,0.7304700613021851
13,3,0.6810636520385742
13,4,0.7384814023971558
13,5,0.7773510217666626
13,6,0.7709686756134033
13,7,0.7846415638923645
13,8,0.8170956969261169
13,9,0.8420641422271729
13,10,0.8777477741241455
14,2,0.7215134501457214
14,3,0.8458428382873535
14,4,0.8159074187278748
14,5,0.7988287210464478
14,6,0.6353231072425842
