chain,best_n_clusters,best_silhouette_score,best_Tg
0,5,0.7922701239585876,330.0
1,9,0.8466318249702454,280.0
2,4,0.7797837257385254,320.5
3,3,0.7877002954483032,400.0
4,6,0.8391018509864807,320.5
5,2,0.9230731725692749,334.5
6,3,0.7059321403503418,371.0
7,7,0.8236879110336304,329.0
8,5,0.8662230968475342,329.0
9,4,0.8270124793052673,210.5
10,4,0.8686806559562683,360.0
11,6,0.5941939353942871,350.0
12,7,0.859112560749054,351.5
13,2,0.8116818070411682,
14,2,0.9483524560928345,370.0
15,2,0.8852154016494751,390.0
16,2,0.8804864883422852,328.0
17,3,0.8100321888923645,359.5
18,5,0.806663990020752,320.0
19,5,0.8961309790611267,351.0
20,7,0.8349578976631165,330.0
21,5,0.8523110747337341,332.5
22,6,0.7604465484619141,285.0
23,3,0.8407829403877258,260.5
24,6,0.8449729084968567,320.5
