UMAP1,UMAP2,temp
-2.884944,-13.014292,200.0
-2.717166,-12.667046,200.5
-2.7927697,-12.709293,201.0
-2.7527242,-12.696115,201.5
-2.8868937,-12.590361,202.0
-2.8044913,-12.880338,202.5
-2.6944647,-12.881959,203.0
-3.1565707,-12.658417,203.5
-2.9818509,-12.756573,204.0
-2.6057007,-12.68006,204.5
-3.4494228,-12.363217,205.0
-2.6903028,-12.55523,205.5
-3.0612938,-12.707728,206.0
-2.8015215,-12.705985,206.5
-2.602236,-12.737942,207.0
-2.9132855,-12.570352,207.5
-2.583366,-12.7299,208.0
-2.4800274,-12.736456,208.5
-2.5094404,-12.8827715,209.0
-2.8962362,-12.602142,209.5
-2.8877268,-13.283694,210.0
-3.469211,-13.796455,210.5
-2.9858787,-13.719339,211.0
-3.1641922,-13.6883,211.5
-3.182785,-13.692781,212.0
-3.3429873,-13.921914,212.5
-3.1248388,-13.764248,213.0
-3.3387988,-13.819256,213.5
-3.0325773,-13.459566,214.0
-3.119282,-13.825633,214.5
-3.2045486,-13.842882,215.0
-3.2092822,-13.585972,215.5
-3.360012,-13.809923,216.0
-2.8458064,-13.355076,216.5
-2.979396,-13.408537,217.0
-3.2961097,-13.914594,217.5
-3.166461,-13.945458,218.0
-3.1025724,-13.659054,218.5
-3.0658746,-13.757094,219.0
-3.2083857,-13.93563,219.5
-3.2709043,-13.034436,220.0
-3.084345,-13.079778,220.5
-3.4824097,-13.092213,221.0
-3.2450635,-13.80958,221.5
-3.022352,-13.138851,222.0
-3.092025,-13.1758585,222.5
-3.3373141,-13.249105,223.0
-3.4493098,-12.99597,223.5
-3.257206,-13.544737,224.0
-3.802549,-13.629872,224.5
-3.2682726,-13.642226,225.0
-3.284318,-13.567979,225.5
-2.7788332,-12.55717,226.0
-3.6339476,-12.214584,226.5
-3.1956828,-13.1725025,227.0
-3.0192096,-12.9849,227.5
-3.4897294,-12.902208,228.0
-3.0787675,-12.592157,228.5
-3.2444959,-12.796719,229.0
-3.1821852,-13.116857,229.5
-3.608414,-12.500495,230.0
-4.164744,-13.287093,230.5
-3.3485577,-12.417545,231.0
-3.3308742,-12.551109,231.5
-3.3109875,-12.520904,232.0
-3.3557534,-12.698836,232.5
-3.287587,-12.352528,233.0
-3.5139036,-12.222055,233.5
-3.527934,-12.801115,234.0
-3.0487535,-12.487452,234.5
-2.649354,-12.55708,235.0
-2.6492472,-12.496637,235.5
-2.6161516,-12.800869,236.0
-2.6989288,-12.841526,236.5
-2.6512418,-12.428355,237.0
-3.2851765,-13.255027,237.5
-2.7150028,-13.118745,238.0
-2.569059,-12.573056,238.5
-2.744143,-13.281912,239.0
-2.8868155,-13.404562,239.5
-2.7719853,-12.694318,240.0
-2.8742056,-12.343091,240.5
-3.6745656,-12.405425,241.0
-3.5732856,-12.79785,241.5
-3.6250398,-12.9085,242.0
-4.2402854,-13.378611,242.5
-4.5165105,-13.453453,243.0
-4.069956,-13.949743,243.5
-4.3552403,-13.990346,244.0
-4.5124803,-13.862836,244.5
-4.9795146,-13.894512,245.0
-4.231134,-13.814697,245.5
-4.6553245,-13.849545,246.0
-4.5862956,-13.601175,246.5
-4.10134,-13.637833,247.0
-4.744772,-13.709954,247.5
-4.314086,-13.320379,248.0
-4.524892,-13.397487,248.5
-4.7990394,-13.648747,249.0
-4.831628,-13.657516,249.5
-4.9081035,-14.078747,250.0
-4.692468,-13.811174,250.5
-4.9353037,-14.012521,251.0
-4.9264655,-13.893251,251.5
-4.8973737,-14.1751,252.0
-4.7404633,-13.897851,252.5
-4.6599517,-13.851587,253.0
-4.8354106,-14.104435,253.5
-4.43634,-13.591144,254.0
-4.721156,-13.730576,254.5
-4.770015,-13.94826,255.0
-4.666291,-14.073763,255.5
-4.787909,-14.098197,256.0
-4.8384066,-13.895569,256.5
-4.786467,-14.269853,257.0
-4.7398515,-14.150803,257.5
-4.3468313,-13.748809,258.0
-4.936946,-14.3114,258.5
-4.662663,-14.023953,259.0
-4.893311,-14.063997,259.5
-4.963802,-13.955776,260.0
-4.638919,-14.074688,260.5
-5.1422443,-14.02957,261.0
-5.1550403,-13.95321,261.5
-5.0640593,-13.716598,262.0
-4.555417,-13.713791,262.5
-4.966424,-14.158179,263.0
-4.0221467,-13.889106,263.5
-5.0742865,-13.684925,264.0
-4.4087553,-13.294595,264.5
-3.286008,-12.908086,265.0
-4.944517,-13.86982,265.5
-5.1627316,-14.079517,266.0
-4.86379,-14.155324,266.5
-4.7021704,-13.349301,267.0
-4.7920647,-13.167349,267.5
-4.6397514,-13.107641,268.0
-5.110773,-13.530902,268.5
-4.8654766,-13.190325,269.0
-5.0054684,-13.450143,269.5
-5.0279627,-13.923,270.0
-4.416357,-14.087492,270.5
-4.3447723,-14.050451,271.0
-4.6142964,-14.167833,271.5
-4.351845,-13.920659,272.0
-4.420377,-14.04706,272.5
-4.23092,-13.511354,273.0
-4.893647,-14.194041,273.5
-4.554147,-14.261313,274.0
-5.179512,-14.020693,274.5
-3.819538,-12.398296,275.0
-3.6063209,-13.772409,275.5
-3.6981657,-12.964903,276.0
-3.8084555,-12.4537735,276.5
-3.8093407,-12.237141,277.0
-3.5313296,-12.749246,277.5
-3.6808345,-12.757552,278.0
-3.6520293,-12.820887,278.5
-3.7415373,-12.68965,279.0
-3.6701007,-13.014175,279.5
-3.5281684,-11.798312,280.0
-3.623627,-11.6867075,280.5
-3.7473788,-11.47334,281.0
-3.6170366,-11.443005,281.5
-3.9608982,-11.700902,282.0
-3.6943345,-11.804654,282.5
-3.6483707,-11.68217,283.0
-3.6664922,-11.520917,283.5
-3.6333668,-11.393701,284.0
-3.6542046,-11.482566,284.5
-3.5908422,-11.43591,285.0
-3.6588528,-11.459447,285.5
-3.8655643,-11.712585,286.0
-3.9305127,-11.540759,286.5
-3.8596,-11.672642,287.0
-2.9742877,-12.4602785,287.5
-3.7515156,-11.491617,288.0
-3.679297,-12.070305,288.5
-3.6120715,-11.918331,289.0
-3.584877,-11.502773,289.5
-3.9003282,-11.340325,290.0
-3.6689186,-11.317773,290.5
-3.9712467,-11.308701,291.0
-3.7406123,-11.3725815,291.5
-3.5625358,-11.276223,292.0
-3.7250419,-11.332615,292.5
-3.5515816,-11.349856,293.0
-3.6134865,-11.37728,293.5
-3.8043637,-11.357692,294.0
-3.43273,-11.563001,294.5
-3.7243278,-11.131723,295.0
-3.7877827,-11.178138,295.5
-3.890202,-11.13064,296.0
-3.7265809,-11.161185,296.5
-3.8434432,-11.185251,297.0
-3.9812298,-11.198395,297.5
-3.9399395,-11.217899,298.0
-3.9892867,-11.626857,298.5
-3.9838362,-11.914072,299.0
-3.9504364,-11.263507,299.5
-1.9837772,6.352593,300.0
-1.9905976,6.5892634,300.5
-1.9843946,6.267668,301.0
-2.034772,6.358334,301.5
-1.9110607,6.6531677,302.0
-2.0457814,6.4986644,302.5
-1.985373,6.672162,303.0
-1.9861434,6.679434,303.5
-2.0051823,6.723455,304.0
-2.0403082,6.5423503,304.5
-2.0518773,6.6389213,305.0
-1.9588022,6.6846147,305.5
-1.9241871,6.7478776,306.0
-1.8398354,6.701328,306.5
-1.870302,6.602111,307.0
-1.7783121,6.554152,307.5
-1.9662719,6.6135697,308.0
-2.0455048,6.48452,308.5
-1.9991452,6.510826,309.0
-1.9019916,6.546234,309.5
-1.8365629,6.126425,310.0
-1.6450365,6.028665,310.5
-1.7822298,6.085863,311.0
-1.8004265,6.070843,311.5
-1.9438376,6.070484,312.0
-1.9225911,5.9967237,312.5
-1.7184997,6.003584,313.0
-1.8761331,6.0715427,313.5
-1.7021092,6.1546683,314.0
-1.6896279,6.1904864,314.5
-1.5976244,6.328909,315.0
-1.884347,6.076606,315.5
-1.8484812,6.0173244,316.0
-2.0700564,5.910621,316.5
-1.7108489,6.339753,317.0
-1.7477026,6.2046194,317.5
-1.8873993,6.1191325,318.0
-1.8079283,6.0230365,318.5
-1.9270746,5.816587,319.0
-1.8332152,6.027661,319.5
-1.6964666,5.807359,320.0
-1.7970686,5.740188,320.5
-1.7493027,5.8280315,321.0
-1.8676419,5.70532,321.5
-1.6667182,5.691264,322.0
-1.7379014,5.740867,322.5
-1.7892246,5.760261,323.0
-1.7426437,5.63688,323.5
-1.8748848,5.6337423,324.0
-1.9255393,5.708832,324.5
-1.9331499,5.7454295,325.0
-2.1179714,5.6242647,325.5
-2.170886,5.706644,326.0
-2.0844147,5.7177143,326.5
-2.1710384,5.6765285,327.0
-2.1208858,5.623286,327.5
-2.1272283,5.5724277,328.0
-2.21501,5.5910964,328.5
-2.1057205,5.5228257,329.0
-2.200961,5.7723145,329.5
9.09608,-3.8144457,330.0
9.090874,-3.808696,330.5
9.328729,-4.007441,331.0
9.1113,-3.831137,331.5
9.244032,-3.9355342,332.0
9.345405,-4.022203,332.5
9.257937,-3.9430506,333.0
9.389348,-4.0580626,333.5
9.36545,-4.044283,334.0
9.297588,-3.9767268,334.5
9.419131,-4.0857234,335.0
9.5266285,-4.1690464,335.5
9.572097,-4.1972575,336.0
9.425724,-4.0872912,336.5
9.430609,-4.0960927,337.0
9.622963,-4.2452664,337.5
9.467787,-4.1210637,338.0
9.404807,-4.072073,338.5
9.734691,-4.3396797,339.0
9.408845,-4.0689807,339.5
9.889702,-4.4460144,340.0
10.040272,-4.562253,340.5
9.960544,-4.495071,341.0
10.16525,-4.674262,341.5
10.138715,-4.642029,342.0
10.042393,-4.571137,342.5
10.0164585,-4.544277,343.0
10.128059,-4.629745,343.5
10.047128,-4.567698,344.0
10.029361,-4.559205,344.5
10.30544,-4.8072367,345.0
10.23547,-4.7444057,345.5
10.556943,-5.0017023,346.0
10.538152,-4.9820747,346.5
10.63154,-5.0742993,347.0
10.663055,-5.0935006,347.5
10.543903,-5.0000687,348.0
10.367941,-4.8180146,348.5
10.573301,-5.0192885,349.0
10.614315,-5.0539412,349.5
10.82859,-5.195475,350.0
10.710293,-5.1089115,350.5
10.820654,-5.2014728,351.0
10.850586,-5.2674384,351.5
10.838684,-5.204541,352.0
10.9458885,-5.3126264,352.5
10.794652,-5.2259126,353.0
10.839914,-5.1654687,353.5
10.965612,-5.3553777,354.0
11.040899,-5.281604,354.5
10.933048,-5.226345,355.0
11.084009,-5.359619,355.5
10.945542,-5.258578,356.0
11.011888,-5.308066,356.5
11.157316,-5.193314,357.0
11.214036,-5.417645,357.5
11.0208645,-5.3775115,358.0
11.098189,-5.30436,358.5
11.107288,-5.3973074,359.0
11.035996,-5.4078245,359.5
11.968259,-5.102551,360.0
11.914277,-5.1158,360.5
11.806445,-5.225846,361.0
11.710291,-5.2517185,361.5
11.832954,-5.1328616,362.0
11.81357,-5.170446,362.5
11.954858,-5.1263113,363.0
11.929511,-5.1371655,363.5
12.021848,-5.0453095,364.0
11.830901,-5.144777,364.5
11.861306,-5.1294756,365.0
12.059626,-4.9407444,365.5
11.997375,-5.1044974,366.0
11.99125,-5.0969586,366.5
12.104232,-5.121095,367.0
12.079259,-5.0584817,367.5
12.129659,-4.9716825,368.0
12.078318,-4.917837,368.5
12.15601,-4.956725,369.0
12.196342,-4.9666705,369.5
12.4253845,-3.4025633,370.0
12.364987,-3.343804,370.5
12.469155,-3.2583323,371.0
12.332279,-3.3430114,371.5
12.365064,-3.1907163,372.0
12.461626,-3.1874077,372.5
12.441353,-3.1916063,373.0
12.324917,-3.065916,373.5
12.453724,-3.1723533,374.0
12.394603,-3.1446211,374.5
12.4240885,-3.1693883,375.0
12.373676,-3.0898736,375.5
12.511074,-3.2288277,376.0
12.473568,-3.195337,376.5
12.426544,-3.089397,377.0
12.468614,-3.0794976,377.5
12.4149475,-3.0696814,378.0
12.474309,-3.1294258,378.5
12.518783,-3.1466033,379.0
12.560417,-3.0576348,379.5
16.596766,-11.18701,380.0
16.59573,-11.1878605,380.5
16.613863,-11.135475,381.0
16.6888,-11.139913,381.5
16.69148,-11.102424,382.0
16.663122,-11.129552,382.5
16.61632,-11.085733,383.0
16.56183,-11.119677,383.5
16.576529,-11.05918,384.0
16.62783,-11.169258,384.5
16.63187,-11.094504,385.0
16.67319,-11.165482,385.5
16.60037,-11.227096,386.0
16.771729,-11.096444,386.5
16.89583,-11.273085,387.0
16.691547,-11.115201,387.5
16.890987,-11.281639,388.0
16.897896,-11.286308,388.5
16.927036,-11.22963,389.0
16.994509,-11.290227,389.5
17.265308,-11.410309,390.0
17.223402,-11.379082,390.5
17.243633,-11.396904,391.0
17.354374,-11.465096,391.5
17.604664,-11.600291,392.0
17.868444,-11.748325,392.5
17.831184,-11.715211,393.0
17.846575,-11.734878,393.5
17.888683,-11.76431,394.0
18.01927,-11.865265,394.5
17.97482,-11.822392,395.0
17.94314,-11.780663,395.5
18.030293,-11.874423,396.0
18.03659,-11.868895,396.5
18.061432,-11.899511,397.0
18.125797,-11.945993,397.5
18.072615,-11.912901,398.0
18.26375,-12.071475,398.5
18.08091,-11.908388,399.0
18.357294,-12.135309,399.5
18.788528,-12.508146,400.0
18.748669,-12.434478,400.5
