chain,best_n_clusters,best_silhouette_score,best_Tg
0,2,0.8745226860046387,410.0
1,3,0.8602197170257568,420.0
2,4,0.9199531674385071,360.0
3,3,0.8830324411392212,358.0
4,5,0.8603980541229248,365.5
5,5,0.9173336029052734,319.0
6,5,0.8753670454025269,340.5
7,2,0.8444207310676575,410.0
8,4,0.8327947854995728,359.5
9,4,0.8556604981422424,360.0
10,3,0.898648738861084,340.5
11,4,0.943649411201477,402.5
12,3,0.9188441634178162,340.5
13,2,0.9171621799468994,371.0
14,5,0.9197370409965515,350.0
15,3,0.8721245527267456,410.0
16,2,0.8892701268196106,330.5
17,3,0.9090915322303772,286.5
18,5,0.8764710426330566,341.0
19,4,0.9063170552253723,340.5
20,5,0.8357442617416382,350.0
21,2,0.8631991744041443,380.0
22,5,0.835024356842041,360.0
23,3,0.8669552206993103,410.0
24,5,0.8805074095726013,380.0
