chain,n_clusters,silhouette_score
0,2,0.843195915222168
0,3,0.6892005801200867
0,4,0.6343638300895691
0,5,0.7041230201721191
0,6,0.7124910354614258
0,7,0.739050567150116
0,8,0.7864168286323547
0,9,0.8070471882820129
0,10,0.6719979047775269
1,2,0.8184999823570251
1,3,0.9019774198532104
1,4,0.8157561421394348
1,5,0.8532013893127441
1,6,0.6690025329589844
1,7,0.6893494129180908
1,8,0.6931761503219604
1,9,0.6953291296958923
1,10,0.6958516836166382
2,2,0.8171738386154175
2,3,0.8504682183265686
2,4,0.8527327179908752
2,5,0.8921574950218201
2,6,0.6277126669883728
2,7,0.6080917119979858
2,8,0.6170278787612915
2,9,0.6401086449623108
2,10,0.6372867822647095
3,2,0.8239263296127319
3,3,0.7867906093597412
3,4,0.8631879091262817
3,5,0.8892945051193237
3,6,0.8829392194747925
3,7,0.6710158586502075
3,8,0.6315036416053772
3,9,0.6595229506492615
3,10,0.6697373986244202
4,2,0.7068918943405151
4,3,0.7946531772613525
4,4,0.804871141910553
4,5,0.8765633702278137
4,6,0.6632794737815857
4,7,0.6883426308631897
4,8,0.6647403240203857
4,9,0.6477857232093811
4,10,0.6576094031333923
5,2,0.8167400360107422
5,3,0.8631710410118103
5,4,0.6857144236564636
5,5,0.6795752048492432
5,6,0.5485333800315857
5,7,0.5201613903045654
5,8,0.5361159443855286
5,9,0.5526943206787109
5,10,0.5421412587165833
6,2,0.6870695352554321
6,3,0.77335524559021
6,4,0.8361794352531433
6,5,0.8601933121681213
6,6,0.8420169353485107
6,7,0.6729992032051086
6,8,0.6726162433624268
6,9,0.6476916670799255
6,10,0.6548497080802917
7,2,0.6928879022598267
7,3,0.794748842716217
7,4,0.8014141917228699
7,5,0.8598821759223938
7,6,0.706721305847168
7,7,0.6995297074317932
7,8,0.6599289774894714
7,9,0.5484529137611389
7,10,0.5625353455543518
8,2,0.8126486539840698
8,3,0.7497639656066895
8,4,0.7918843626976013
8,5,0.8116355538368225
8,6,0.82265704870224
8,7,0.6386192440986633
8,8,0.6587865352630615
8,9,0.6614444851875305
8,10,0.6629300713539124
9,2,0.778296709060669
9,3,0.739069938659668
