UMAP1,UMAP2,temp
17.91097,-1.6685958,200.0
17.899548,-1.0252849,200.5
18.389479,-0.83008415,201.0
17.960653,-1.4664121,201.5
17.685966,-1.0099485,202.0
17.682156,-2.3775666,202.5
17.799698,-0.7639071,203.0
18.350636,-0.65962374,203.5
17.541445,-1.8319921,204.0
17.897343,-1.075249,204.5
17.293297,-1.6817567,205.0
18.191133,-1.1156124,205.5
18.022314,-1.8168883,206.0
18.64061,-1.1314791,206.5
18.416222,-0.94451845,207.0
17.693161,-2.7140372,207.5
17.821821,-0.9543206,208.0
18.337942,-0.8225549,208.5
18.664192,-0.6211401,209.0
17.73922,-0.7721965,209.5
18.817907,-0.9554798,210.0
18.415522,-1.4698799,210.5
17.687517,-1.3694624,211.0
18.246851,-1.0437498,211.5
17.711296,-2.1240098,212.0
18.165302,-0.93107665,212.5
18.321661,-0.8661336,213.0
17.669409,-1.8756269,213.5
17.924332,-1.8872043,214.0
17.446697,-1.6459135,214.5
18.189852,-0.664429,215.0
17.884119,-0.9598393,215.5
18.493448,-0.67833614,216.0
18.196577,-0.5821872,216.5
18.228687,-2.1573179,217.0
17.871183,-1.8337718,217.5
17.941914,-2.114221,218.0
17.64231,-0.94657886,218.5
18.015375,-0.99293685,219.0
17.62393,-1.035966,219.5
17.672213,-0.85203815,220.0
18.67522,-0.63287777,220.5
17.88368,-1.3216996,221.0
18.325363,-1.337975,221.5
17.327944,-1.4958998,222.0
17.583685,-2.2347248,222.5
18.206926,-0.45907784,223.0
17.736841,-2.1102605,223.5
17.52791,-0.8652136,224.0
17.725664,-0.84897923,224.5
17.530006,-2.1364653,225.0
17.740665,-1.1682498,225.5
19.612013,-2.5134215,226.0
17.59301,-0.90768504,226.5
18.02413,-1.2009115,227.0
18.304508,-1.3309609,227.5
17.798805,-1.737429,228.0
18.46532,-0.5493045,228.5
17.699833,-1.6214089,229.0
17.937113,-1.3763279,229.5
19.000189,-2.9997354,230.0
17.987024,-2.9891965,230.5
19.342995,-2.8078992,231.0
18.586111,-2.6106868,231.5
18.727724,-2.901598,232.0
18.83891,-1.0028412,232.5
18.524189,-2.516658,233.0
19.716398,-1.6632802,233.5
18.575178,-1.9261122,234.0
18.02998,-0.52365685,234.5
18.455383,-0.8599638,235.0
17.398003,-1.0166615,235.5
17.844978,-0.68328375,236.0
17.250362,-1.7338734,236.5
17.724651,-1.8322701,237.0
18.69166,-2.6610868,237.5
19.322206,-2.214244,238.0
18.866062,-1.996823,238.5
18.450634,-2.9054837,239.0
18.145367,-2.6931338,239.5
18.952333,-1.3894033,240.0
19.115042,-2.5982502,240.5
19.636858,-1.4194516,241.0
19.750477,-1.1917577,241.5
18.872553,-0.98068064,242.0
18.978605,-2.2142344,242.5
19.242065,-2.7190144,243.0
19.075768,-1.9885066,243.5
18.321201,-1.5239571,244.0
18.76323,-2.6329048,244.5
19.129066,-1.1972213,245.0
17.65021,-1.9794291,245.5
18.031786,-0.84696203,246.0
18.129463,-0.534966,246.5
19.552256,-2.324708,247.0
20.188904,-2.6917639,247.5
19.222366,-3.2625582,248.0
18.16277,-3.3702002,248.5
17.592087,-0.6079833,249.0
18.846388,-2.112261,249.5
18.631449,-2.8454518,250.0
18.232813,-2.1812365,250.5
18.363462,-0.52279264,251.0
18.750286,-2.751615,251.5
19.57079,-3.7539616,252.0
17.71913,-0.7436018,252.5
19.06004,-3.0408058,253.0
19.243744,-3.9962792,253.5
18.862583,-2.3073442,254.0
19.35072,-2.2180445,254.5
18.544033,-3.6684752,255.0
19.094055,-2.1443036,255.5
18.31796,-3.4903696,256.0
20.13667,-0.9310934,256.5
20.023275,-2.5444229,257.0
19.91519,-1.5500091,257.5
18.013636,-0.8485792,258.0
19.241045,-2.2427747,258.5
18.991386,-4.415964,259.0
17.604338,-0.75530314,259.5
18.02803,-3.323097,260.0
19.50078,-1.6470512,260.5
18.624859,-2.1656942,261.0
19.572048,-3.9934888,261.5
19.373875,-1.5956864,262.0
19.492212,-4.1219096,262.5
18.81937,-4.2406244,263.0
20.571554,-2.235639,263.5
