chain,best_n_clusters,best_silhouette_score,best_Tg
0,2,0.8163268566131592,
1,3,0.9274284839630127,390.0
2,5,0.7918301820755005,327.5
3,7,0.5153546929359436,246.0
4,4,0.5919355750083923,224.5
5,2,0.7880344986915588,400.0
6,2,0.9557918310165405,356.5
7,5,0.8221288323402405,370.0
8,4,0.7737439274787903,320.5
9,2,0.8700911998748779,410.0
10,8,0.8912959694862366,389.5
11,2,0.5352301597595215,409.0
12,2,0.8483443260192871,430.0
13,2,0.5325084924697876,244.0
14,2,0.8134647011756897,389.5
15,5,0.7602963447570801,337.5
16,6,0.5488935112953186,330.0
17,2,0.633883535861969,353.0
18,2,0.583296537399292,360.0
19,3,0.4778344929218292,266.0
20,6,0.730769157409668,205.0
21,4,0.7362086176872253,362.5
22,5,0.885123610496521,370.0
23,2,0.5333279967308044,205.5
24,2,0.5237855911254883,
