UMAP1,UMAP2,temp,Cluster,Grid_X,Grid_Y,State,Cluster_Change
-12.495782,-5.204683,200.0,2,-2,-1,glassy,False
-11.329083,-4.7052903,200.5,0,-2,-1,rubbery,True
-12.308074,-4.805326,201.0,2,-2,-1,glassy,True
-10.837693,-4.4576883,201.5,0,-2,-1,rubbery,True
-13.387695,-4.724321,202.0,2,-2,-1,glassy,True
-12.832205,-3.8139234,202.5,2,-2,-1,glassy,False
-13.181089,-5.242033,203.0,2,-2,-1,glassy,False
-13.129791,-5.454964,203.5,2,-2,-1,glassy,False
-12.905092,-5.459558,204.0,2,-2,-1,glassy,False
-13.338527,-5.314396,204.5,2,-2,-1,glassy,False
-13.269684,-5.3506136,205.0,2,-2,-1,glassy,False
-13.06451,-5.6101108,205.5,2,-2,-1,glassy,False
-12.257271,-5.244465,206.0,2,-2,-1,glassy,False
-10.785692,-4.6300626,206.5,0,-2,-1,rubbery,True
-9.779306,-2.83317,207.0,4,-1,-1,rubbery,False
-11.103794,-4.7121754,207.5,0,-2,-1,rubbery,False
-11.523968,-4.879662,208.0,0,-2,-1,rubbery,False
-12.1107855,-5.412414,208.5,2,-2,-1,glassy,True
-11.525613,-4.513543,209.0,0,-2,-1,rubbery,True
-11.244169,-5.026502,209.5,0,-2,-1,rubbery,False
-11.377876,-4.6537848,210.0,0,-2,-1,rubbery,False
-10.504641,-3.8854055,210.5,4,-2,-1,rubbery,False
-13.299918,-5.0271306,211.0,2,-2,-1,glassy,True
-13.20972,-5.369096,211.5,2,-2,-1,glassy,False
-13.340865,-5.394999,212.0,2,-2,-1,glassy,False
-12.964705,-5.392102,212.5,2,-2,-1,glassy,False
-13.205445,-5.569854,213.0,2,-2,-1,glassy,False
-11.536968,-4.378975,213.5,0,-2,-1,rubbery,True
-13.408742,-5.2659974,214.0,2,-2,-1,glassy,True
-10.146505,-4.066404,214.5,4,-2,-1,rubbery,True
-11.199351,-4.865908,215.0,0,-2,-1,rubbery,False
-10.071141,-2.9079654,215.5,4,-2,-1,rubbery,False
-11.2352495,-4.836455,216.0,0,-2,-1,rubbery,False
-13.120028,-5.061294,216.5,2,-2,-1,glassy,True
-13.419082,-5.1248026,217.0,2,-2,-1,glassy,False
-11.774778,-4.5879784,217.5,2,-2,-1,glassy,False
-13.326953,-4.7714396,218.0,2,-2,-1,glassy,False
-13.11576,-5.438065,218.5,2,-2,-1,glassy,False
-10.518268,-4.0767426,219.0,4,-2,-1,rubbery,True
-11.057498,-4.667746,219.5,0,-2,-1,rubbery,False
-10.120069,-3.0388622,220.0,4,-2,-1,rubbery,False
-9.245025,-3.655507,220.5,4,-1,-1,rubbery,False
-9.701832,-3.2834537,221.0,4,-1,-1,rubbery,False
-9.912871,-3.8189745,221.5,4,-1,-1,rubbery,False
-11.252234,-4.8073297,222.0,0,-2,-1,rubbery,False
-11.947878,-4.6824536,222.5,2,-2,-1,glassy,True
-11.294584,-4.6170015,223.0,0,-2,-1,rubbery,True
-11.09329,-4.854792,223.5,0,-2,-1,rubbery,False
-10.114222,-2.8949907,224.0,4,-2,-1,rubbery,False
-10.992206,-4.3749895,224.5,0,-2,-1,rubbery,False
-11.350877,-4.6615624,225.0,0,-2,-1,rubbery,False
-12.78956,-4.182262,225.5,2,-2,-1,glassy,True
-10.202032,-3.9640803,226.0,4,-2,-1,rubbery,True
-10.187735,-3.6650126,226.5,4,-2,-1,rubbery,False
-13.222345,-5.5483637,227.0,2,-2,-1,glassy,True
-13.323374,-5.6373897,227.5,2,-2,-1,glassy,False
-13.4299755,-5.5112066,228.0,2,-2,-1,glassy,False
-13.278162,-5.667376,228.5,2,-2,-1,glassy,False
-13.24487,-5.498303,229.0,2,-2,-1,glassy,False
-12.433871,-5.228291,229.5,2,-2,-1,glassy,False
-9.9787035,-3.8660696,230.0,4,-1,-1,rubbery,True
-10.121596,-3.5334308,230.5,4,-2,-1,rubbery,False
-9.540253,-4.0230756,231.0,4,-1,-1,rubbery,False
-13.068466,-4.7516155,231.5,2,-2,-1,glassy,True
-9.240346,-3.1491814,232.0,4,-1,-1,rubbery,True
-8.7597,-3.534751,232.5,9,-1,-1,rubbery,False
-9.789998,-2.860962,233.0,4,-1,-1,rubbery,False
-8.619556,-3.2556996,233.5,9,-1,-1,rubbery,False
-8.739586,-3.3687916,234.0,9,-1,-1,rubbery,False
-8.854141,-2.915143,234.5,9,-1,-1,rubbery,False
-8.727736,-3.1077652,235.0,9,-1,-1,rubbery,False
-9.52514,-3.6795995,235.5,4,-1,-1,rubbery,False
-12.1355,-4.767818,236.0,2,-2,-1,glassy,True
-12.352689,-4.7119455,236.5,2,-2,-1,glassy,False
-9.776999,-3.1460176,237.0,4,-1,-1,rubbery,True
-9.073044,-3.138912,237.5,4,-1,-1,rubbery,False
-9.582963,-3.057899,238.0,4,-1,-1,rubbery,False
-8.5701885,-3.0270402,238.5,9,-1,-1,rubbery,False
-11.787743,-5.07045,239.0,2,-2,-1,glassy,True
-8.914441,-3.749975,239.5,4,-1,-1,rubbery,True
-8.785035,-3.0294247,240.0,9,-1,-1,rubbery,False
-8.524229,-3.2021058,240.5,9,-1,-1,rubbery,False
-8.578168,-3.2646847,241.0,9,-1,-1,rubbery,False
-9.698916,-3.5362892,241.5,4,-1,-1,rubbery,False
-8.827166,-3.0192025,242.0,9,-1,-1,rubbery,False
-9.991307,-3.9994586,242.5,4,-1,-1,rubbery,False
-8.9714775,-3.1160455,243.0,4,-1,-1,rubbery,False
-8.4122925,-3.3126607,243.5,9,-1,-1,rubbery,False
-13.039809,-4.261045,244.0,2,-2,-1,glassy,True
-10.70904,-4.2187314,244.5,0,-2,-1,rubbery,True
-11.687689,-3.514337,245.0,0,-2,-1,rubbery,False
-11.287405,-3.6156147,245.5,0,-2,-1,rubbery,False
-9.200091,-2.7796874,246.0,9,-1,-1,rubbery,False
-11.962583,-4.0329895,246.5,0,-2,-1,rubbery,False
-9.385796,-2.7447722,247.0,9,-1,-1,rubbery,False
-11.314922,-3.7841802,247.5,0,-2,-1,rubbery,False
-9.59293,-3.102149,248.0,4,-1,-1,rubbery,False
-9.2325535,-2.6294718,248.5,9,-1,-1,rubbery,False
-9.118596,-2.7296782,249.0,9,-1,-1,rubbery,False
-9.7504635,-2.9791873,249.5,4,-1,-1,rubbery,False
-10.066844,-2.7246294,250.0,4,-2,-1,rubbery,False
-9.317086,-4.0463467,250.5,4,-1,-1,rubbery,False
-9.749443,-3.9928641,251.0,4,-1,-1,rubbery,False
-13.043459,-4.570521,251.5,2,-2,-1,glassy,True
-9.346426,-3.9269886,252.0,4,-1,-1,rubbery,True
-8.82607,-3.0950222,252.5,9,-1,-1,rubbery,False
-12.850998,-5.0184016,253.0,2,-2,-1,glassy,True
-9.893315,-3.259342,253.5,4,-1,-1,rubbery,True
-9.048552,-3.5809064,254.0,4,-1,-1,rubbery,False
-9.396968,-3.9561203,254.5,4,-1,-1,rubbery,False
-9.837634,-2.6362507,255.0,4,-1,-1,rubbery,False
-12.412893,-3.5198038,255.5,3,-2,-1,rubbery,False
-9.14597,-2.9143302,256.0,9,-1,-1,rubbery,False
-12.77624,-4.1489863,256.5,2,-2,-1,glassy,True
-9.391452,-2.8560061,257.0,9,-1,-1,rubbery,True
-9.539074,-2.8770344,257.5,4,-1,-1,rubbery,False
-13.147917,-4.3916306,258.0,2,-2,-1,glassy,True
-11.2007065,-3.742155,258.5,0,-2,-1,rubbery,True
-9.583676,-2.684893,259.0,4,-1,-1,rubbery,False
-12.489956,-4.18627,259.5,2,-2,-1,glassy,True
-9.477809,-3.5872545,260.0,4,-1,-1,rubbery,True
-9.779606,-2.5229506,260.5,4,-1,-1,rubbery,False
-9.056481,-2.8535662,261.0,9,-1,-1,rubbery,False
-9.3288965,-2.995196,261.5,9,-1,-1,rubbery,False
-10.087553,-2.4484768,262.0,4,-2,-1,rubbery,False
-8.734008,-2.792211,262.5,9,-1,-1,rubbery,False
-9.930361,-3.1775339,263.0,4,-1,-1,rubbery,False
-10.953611,-4.830615,263.5,0,-2,-1,rubbery,False
-9.893104,-3.5695357,264.0,4,-1,-1,rubbery,False
-9.707639,-2.9220006,264.5,4,-1,-1,rubbery,False
-9.41458,-3.7178912,265.0,4,-1,-1,rubbery,False
-8.947083,-3.6790726,265.5,4,-1,-1,rubbery,False
-9.556037,-2.794411,266.0,4,-1,-1,rubbery,False
-8.736974,-2.790155,266.5,9,-1,-1,rubbery,False
-9.905363,-2.6077862,267.0,4,-1,-1,rubbery,False
-12.741898,-4.5729566,267.5,2,-2,-1,glassy,True
-9.541521,-2.6895685,268.0,4,-1,-1,rubbery,True
-13.097583,-4.367517,268.5,2,-2,-1,glassy,True
-9.775347,-2.8494678,269.0,4,-1,-1,rubbery,True
-8.911313,-2.5995798,269.5,9,-1,-1,rubbery,False
-9.067484,-3.7674456,270.0,4,-1,-1,rubbery,False
-9.777373,-4.073008,270.5,4,-1,-1,rubbery,False
-9.371644,-3.795466,271.0,4,-1,-1,rubbery,False
-9.676803,-2.7532713,271.5,4,-1,-1,rubbery,False
-12.705598,-4.523299,272.0,2,-2,-1,glassy,True
-12.938489,-4.464866,272.5,2,-2,-1,glassy,False
-8.752602,-3.4026215,273.0,9,-1,-1,rubbery,True
-9.258384,-3.8068004,273.5,4,-1,-1,rubbery,False
-9.360667,-2.6020217,274.0,9,-1,-1,rubbery,False
-8.580841,-2.9663453,274.5,9,-1,-1,rubbery,False
-12.375429,-3.476781,275.0,3,-2,-1,rubbery,False
-12.434156,-5.3554697,275.5,2,-2,-1,glassy,True
-9.495741,-4.2377234,276.0,4,-1,-1,rubbery,True
-8.752362,-2.6996567,276.5,9,-1,-1,rubbery,False
-13.05287,-4.8758245,277.0,2,-2,-1,glassy,True
-8.569525,-3.640981,277.5,9,-1,-1,rubbery,True
-9.318016,-3.4494302,278.0,4,-1,-1,rubbery,False
-13.3213825,-4.127976,278.5,2,-2,-1,glassy,True
-12.9157295,-4.7908764,279.0,2,-2,-1,glassy,False
-9.936427,-2.67431,279.5,4,-1,-1,rubbery,True
-9.837517,-2.5885499,280.0,4,-1,-1,rubbery,False
-9.423762,-4.014173,280.5,4,-1,-1,rubbery,False
-9.300328,-4.0277114,281.0,4,-1,-1,rubbery,False
-12.902472,-5.3139725,281.5,2,-2,-1,glassy,True
-9.486069,-3.4926076,282.0,4,-1,-1,rubbery,True
-12.628181,-4.273114,282.5,2,-2,-1,glassy,True
-9.017451,-3.3229089,283.0,4,-1,-1,rubbery,True
-12.248112,-3.8467467,283.5,3,-2,-1,rubbery,False
-12.116598,-4.4236665,284.0,2,-2,-1,glassy,True
-12.641516,-4.474793,284.5,2,-2,-1,glassy,False
-12.489668,-4.031512,285.0,2,-2,-1,glassy,False
-8.764492,-3.6957872,285.5,9,-1,-1,rubbery,True
-10.826026,-4.268806,286.0,0,-2,-1,rubbery,False
-8.55848,-3.234414,286.5,9,-1,-1,rubbery,False
-11.926074,-3.9365463,287.0,0,-2,-1,rubbery,False
-11.728882,-4.200019,287.5,0,-2,-1,rubbery,False
-8.525959,-2.9628541,288.0,9,-1,-1,rubbery,False
-13.208023,-4.52896,288.5,2,-2,-1,glassy,True
-12.501403,-4.749719,289.0,2,-2,-1,glassy,False
-9.395556,-2.9381824,289.5,9,-1,-1,rubbery,True
-8.469044,-3.5921347,290.0,9,-1,-1,rubbery,False
-12.556906,-5.14994,290.5,2,-2,-1,glassy,True
-12.451459,-4.3167825,291.0,2,-2,-1,glassy,False
-12.4354725,-4.21481,291.5,2,-2,-1,glassy,False
-9.075479,-3.9439964,292.0,4,-1,-1,rubbery,True
-12.822782,-3.560764,292.5,2,-2,-1,glassy,True
-9.152633,-3.4305146,293.0,4,-1,-1,rubbery,True
-8.845702,-3.3544915,293.5,9,-1,-1,rubbery,False
-9.997224,-2.4953995,294.0,4,-1,-1,rubbery,False
-9.704227,-3.2809463,294.5,4,-1,-1,rubbery,False
-11.583945,-4.231038,295.0,0,-2,-1,rubbery,False
-12.016947,-3.8174238,295.5,0,-2,-1,rubbery,False
-12.346109,-3.6837938,296.0,3,-2,-1,rubbery,False
-8.831894,-2.6318245,296.5,9,-1,-1,rubbery,False
-12.315051,-4.5645447,297.0,2,-2,-1,glassy,True
-9.153635,-3.4904864,297.5,4,-1,-1,rubbery,True
-13.081359,-4.4681687,298.0,2,-2,-1,glassy,True
-8.426921,-3.0343878,298.5,9,-1,-1,rubbery,True
-9.287025,-2.8635583,299.0,9,-1,-1,rubbery,False
-9.307987,-3.3127315,299.5,4,-1,-1,rubbery,False
-8.420176,-3.5480723,300.0,9,-1,-1,rubbery,False
-8.9369955,-2.6624413,300.5,9,-1,-1,rubbery,False
-11.1096115,-3.9561565,301.0,0,-2,-1,rubbery,False
-13.0234,-4.504396,301.5,2,-2,-1,glassy,True
-8.708651,-2.8468184,302.0,9,-1,-1,rubbery,True
-12.177491,-4.3431892,302.5,2,-2,-1,glassy,True
-12.787029,-4.335858,303.0,2,-2,-1,glassy,False
-12.420514,-4.566253,303.5,2,-2,-1,glassy,False
-12.629112,-4.386355,304.0,2,-2,-1,glassy,False
-13.02813,-4.414596,304.5,2,-2,-1,glassy,False
-12.41415,-4.6082354,305.0,2,-2,-1,glassy,False
-12.231056,-4.5146637,305.5,2,-2,-1,glassy,False
-12.494436,-4.4000683,306.0,2,-2,-1,glassy,False
-12.96051,-4.6639233,306.5,2,-2,-1,glassy,False
-9.0886755,-3.2572842,307.0,4,-1,-1,rubbery,True
-12.163047,-4.3688107,307.5,2,-2,-1,glassy,True
-9.569538,-3.9635594,308.0,4,-1,-1,rubbery,True
-10.286829,-3.2362404,308.5,4,-2,-1,rubbery,False
-12.321863,-3.5014718,309.0,3,-2,-1,rubbery,False
-9.9755125,-2.7625506,309.5,4,-1,-1,rubbery,False
-12.555531,-3.2925897,310.0,3,-2,-1,rubbery,False
-12.670954,-2.9911692,310.5,3,-2,-1,rubbery,False
-12.509085,-5.397712,311.0,2,-2,-1,glassy,True
-12.32132,-4.169758,311.5,2,-2,-1,glassy,False
-12.294805,-3.6262026,312.0,3,-2,-1,rubbery,True
-12.372687,-4.1964025,312.5,2,-2,-1,glassy,True
-11.837913,-3.702986,313.0,0,-2,-1,rubbery,True
-12.0167675,-4.958053,313.5,2,-2,-1,glassy,True
-12.188705,-4.3129983,314.0,2,-2,-1,glassy,False
-12.20625,-4.5888143,314.5,2,-2,-1,glassy,False
-12.499052,-3.93707,315.0,2,-2,-1,glassy,False
-12.488655,-5.335165,315.5,2,-2,-1,glassy,False
-12.288152,-5.2447834,316.0,2,-2,-1,glassy,False
-12.042267,-4.3775196,316.5,2,-2,-1,glassy,False
-12.390316,-5.144543,317.0,2,-2,-1,glassy,False
-12.259984,-5.419003,317.5,2,-2,-1,glassy,False
-12.738271,-3.533301,318.0,2,-2,-1,glassy,False
-12.3501625,-5.092757,318.5,2,-2,-1,glassy,False
-12.900623,-2.5146093,319.0,3,-2,-1,rubbery,True
-12.860434,-2.8101237,319.5,3,-2,-1,rubbery,False
-12.129195,-5.3175874,320.0,2,-2,-1,glassy,True
-12.098699,-5.3792953,320.5,2,-2,-1,glassy,False
-12.068885,-5.311947,321.0,2,-2,-1,glassy,False
-12.076957,-5.5318446,321.5,2,-2,-1,glassy,False
-12.075148,-5.3498797,322.0,2,-2,-1,glassy,False
-12.9570265,-3.1404114,322.5,3,-2,-1,rubbery,True
-12.696819,-2.9545963,323.0,3,-2,-1,rubbery,False
-12.67662,-3.0039907,323.5,3,-2,-1,rubbery,False
-11.82108,-5.3950744,324.0,2,-2,-1,glassy,True
-12.422324,-4.479438,324.5,2,-2,-1,glassy,False
-12.450396,-4.85136,325.0,2,-2,-1,glassy,False
-12.062785,-5.3291597,325.5,2,-2,-1,glassy,False
-12.028864,-5.445049,326.0,2,-2,-1,glassy,False
-9.631516,-4.40761,326.5,4,-1,-1,rubbery,True
-11.815436,-5.624266,327.0,2,-2,-1,glassy,True
-12.494955,-4.8791695,327.5,2,-2,-1,glassy,False
-11.283886,-5.040029,328.0,0,-2,-1,rubbery,True
-13.320608,-5.411186,328.5,2,-2,-1,glassy,True
-12.183501,-5.4833117,329.0,2,-2,-1,glassy,False
-12.36622,-4.1442533,329.5,2,-2,-1,glassy,False
-9.509452,-3.8742917,330.0,4,-1,-1,rubbery,True
-9.838145,-3.3365104,330.5,4,-1,-1,rubbery,False
-8.934941,-3.7923317,331.0,4,-1,-1,rubbery,False
-12.786893,-5.634555,331.5,2,-2,-1,glassy,True
-9.637803,-3.5738323,332.0,4,-1,-1,rubbery,True
-13.18254,-5.126127,332.5,2,-2,-1,glassy,True
-12.392165,-3.950455,333.0,2,-2,-1,glassy,False
-9.936423,-2.7834134,333.5,4,-1,-1,rubbery,True
-12.149415,-4.1568747,334.0,2,-2,-1,glassy,True
-12.931309,-3.7365937,334.5,2,-2,-1,glassy,False
-12.92839,-4.576365,335.0,2,-2,-1,glassy,False
-12.657905,-5.0972824,335.5,2,-2,-1,glassy,False
-12.991798,-3.2576857,336.0,3,-2,-1,rubbery,True
-13.058758,-3.4991617,336.5,3,-2,-1,rubbery,False
-10.101618,-3.5296984,337.0,4,-2,-1,rubbery,False
-11.277372,-4.5116773,337.5,0,-2,-1,rubbery,False
-12.307654,-3.4276462,338.0,3,-2,-1,rubbery,False
-13.023261,-4.9240212,338.5,2,-2,-1,glassy,True
-10.937087,-4.526257,339.0,0,-2,-1,rubbery,True
-9.12821,-4.0939126,339.5,4,-1,-1,rubbery,False
-13.197121,-3.8690965,340.0,2,-2,-1,glassy,True
-12.468384,-2.3726737,340.5,3,-2,-1,rubbery,True
-12.680795,-3.333487,341.0,3,-2,-1,rubbery,False
-13.055411,-3.238523,341.5,3,-2,-1,rubbery,False
-12.246101,-1.4803761,342.0,7,-2,-1,rubbery,False
-12.560258,-2.3263116,342.5,3,-2,-1,rubbery,False
-12.931167,-3.319303,343.0,3,-2,-1,rubbery,False
-12.945431,-3.7820005,343.5,2,-2,-1,glassy,True
-12.421642,-1.8726209,344.0,7,-2,-1,rubbery,True
-12.449132,-2.0288143,344.5,7,-2,-1,rubbery,False
-12.695676,-2.626016,345.0,3,-2,-1,rubbery,False
-12.918235,-2.934911,345.5,3,-2,-1,rubbery,False
-12.671685,-3.2527857,346.0,3,-2,-1,rubbery,False
-12.454624,-2.0089204,346.5,7,-2,-1,rubbery,False
-12.854412,-3.012388,347.0,3,-2,-1,rubbery,False
-12.974352,-2.9153278,347.5,3,-2,-1,rubbery,False
-12.86878,-2.802205,348.0,3,-2,-1,rubbery,False
-12.749337,-2.498949,348.5,3,-2,-1,rubbery,False
-12.766369,-5.210265,349.0,2,-2,-1,glassy,True
-11.708685,-2.7246082,349.5,0,-2,-1,rubbery,True
-12.866767,-2.5884004,350.0,3,-2,-1,rubbery,False
-12.511159,-1.9716289,350.5,7,-2,-1,rubbery,False
-12.831016,-2.4416528,351.0,3,-2,-1,rubbery,False
-12.940892,-2.5474734,351.5,3,-2,-1,rubbery,False
-12.73874,-2.1861093,352.0,3,-2,-1,rubbery,False
-12.512921,-2.687173,352.5,3,-2,-1,rubbery,False
-12.0569515,-1.7690495,353.0,7,-2,-1,rubbery,False
-11.678084,-2.9313002,353.5,0,-2,-1,rubbery,False
-13.347967,-3.6083353,354.0,2,-2,-1,glassy,True
-12.167076,-2.1404507,354.5,3,-2,-1,rubbery,True
-12.99583,-2.5566514,355.0,3,-2,-1,rubbery,False
-12.963715,-2.6769753,355.5,3,-2,-1,rubbery,False
-12.8661785,-2.6663096,356.0,3,-2,-1,rubbery,False
