UMAP1,UMAP2,temp,Cluster,Grid_X,Grid_Y,State,Cluster_Change
-51.747417,24.906338,200.0,0,-6,2,glassy,False
-51.22367,25.288843,200.5,0,-6,2,glassy,False
-51.665043,24.84077,201.0,0,-6,2,glassy,False
-52.22519,25.263542,201.5,0,-6,2,glassy,False
-52.17559,25.580809,202.0,4,-6,2,rubbery,True
-52.598137,25.499651,202.5,4,-6,2,rubbery,False
-52.258068,25.622622,203.0,4,-6,2,rubbery,False
-52.093334,26.180601,203.5,4,-6,2,rubbery,False
-51.88991,24.960041,204.0,0,-6,2,glassy,True
-52.70448,25.743862,204.5,4,-6,2,rubbery,True
-50.9801,25.82527,205.0,0,-6,2,glassy,True
-51.930576,25.272568,205.5,4,-6,2,rubbery,True
-51.9752,25.68748,206.0,4,-6,2,rubbery,False
-51.97133,25.708736,206.5,4,-6,2,rubbery,False
-52.443855,25.47289,207.0,4,-6,2,rubbery,False
-51.68811,24.963,207.5,0,-6,2,glassy,True
-51.61553,25.6477,208.0,0,-6,2,glassy,False
-51.777035,25.339931,208.5,0,-6,2,glassy,False
-51.49016,24.88071,209.0,0,-6,2,glassy,False
-51.85664,26.315805,209.5,4,-6,2,rubbery,True
-52.508766,25.902323,210.0,4,-6,2,rubbery,False
-52.208076,25.916704,210.5,4,-6,2,rubbery,False
-51.80403,25.13988,211.0,0,-6,2,glassy,True
-52.440258,25.927122,211.5,4,-6,2,rubbery,True
-51.543705,26.396597,212.0,4,-6,2,rubbery,False
-52.035233,25.506996,212.5,4,-6,2,rubbery,False
-51.270126,25.601978,213.0,0,-6,2,glassy,True
-51.78136,26.33857,213.5,4,-6,2,rubbery,True
-52.536556,25.859453,214.0,4,-6,2,rubbery,False
-52.244244,25.763292,214.5,4,-6,2,rubbery,False
-52.13694,25.688066,215.0,4,-6,2,rubbery,False
-52.247803,26.150543,215.5,4,-6,2,rubbery,False
-52.686127,25.707788,216.0,4,-6,2,rubbery,False
-51.747444,25.306276,216.5,0,-6,2,glassy,True
-51.900414,25.479933,217.0,4,-6,2,rubbery,True
-52.384403,25.765707,217.5,4,-6,2,rubbery,False
-52.16274,25.187986,218.0,0,-6,2,glassy,True
-51.827797,25.029034,218.5,0,-6,2,glassy,False
-52.2985,25.31133,219.0,0,-6,2,glassy,False
-52.648903,26.191414,219.5,4,-6,2,rubbery,True
-51.223454,24.90748,220.0,0,-6,2,glassy,True
-52.712368,26.281813,220.5,4,-6,2,rubbery,True
-50.946064,25.939722,221.0,0,-6,2,glassy,True
-52.22251,25.990763,221.5,4,-6,2,rubbery,True
-50.96516,25.468119,222.0,0,-6,2,glassy,True
-52.600395,25.453382,222.5,4,-6,2,rubbery,True
-52.52081,26.236277,223.0,4,-6,2,rubbery,False
-52.591988,26.025597,223.5,4,-6,2,rubbery,False
-52.38013,25.709688,224.0,4,-6,2,rubbery,False
-50.940937,25.26414,224.5,0,-6,2,glassy,True
-52.121708,25.98149,225.0,4,-6,2,rubbery,True
-52.398636,26.27984,225.5,4,-6,2,rubbery,False
-51.340427,25.544037,226.0,0,-6,2,glassy,True
-50.79749,25.252205,226.5,0,-6,2,glassy,False
-52.640903,26.211355,227.0,4,-6,2,rubbery,True
-51.5458,25.348003,227.5,0,-6,2,glassy,True
-52.32975,25.14945,228.0,0,-6,2,glassy,False
-50.97581,26.859102,228.5,0,-6,2,glassy,False
-51.581226,25.395397,229.0,0,-6,2,glassy,False
-51.348186,24.912045,229.5,0,-6,2,glassy,False
-51.87382,24.802301,230.0,0,-6,2,glassy,False
-50.43355,26.132868,230.5,0,-6,2,glassy,False
-51.739372,25.69769,231.0,0,-6,2,glassy,False
-51.1203,26.20776,231.5,0,-6,2,glassy,False
-51.908653,25.38266,232.0,4,-6,2,rubbery,True
-51.21722,25.092022,232.5,0,-6,2,glassy,True
-52.04999,24.67935,233.0,0,-6,2,glassy,False
-51.49073,25.790073,233.5,0,-6,2,glassy,False
-52.72945,25.52994,234.0,4,-6,2,rubbery,True
-51.325737,25.523935,234.5,0,-6,2,glassy,True
-50.369522,25.982119,235.0,0,-6,2,glassy,False
-51.91256,26.504393,235.5,4,-6,2,rubbery,True
-52.206997,24.84189,236.0,0,-6,2,glassy,True
-51.706966,24.963465,236.5,0,-6,2,glassy,False
-51.611,25.35713,237.0,0,-6,2,glassy,False
