chain,n_clusters,silhouette_score
0,2,0.823658287525177
0,3,0.7409650683403015
0,4,0.6965587735176086
0,5,0.690698504447937
0,6,0.6663293838500977
0,7,0.6696997880935669
0,8,0.6584016680717468
0,9,0.6449845433235168
0,10,0.642092764377594
1,2,0.6371684670448303
1,3,0.6966398358345032
1,4,0.7282202839851379
1,5,0.6954900026321411
1,6,0.6706000566482544
1,7,0.54787278175354
1,8,0.5460336208343506
1,9,0.5444025993347168
1,10,0.5234773755073547
2,2,0.7337719798088074
2,3,0.8597817420959473
2,4,0.843468427658081
2,5,0.5988286733627319
2,6,0.566963791847229
2,7,0.5764735341072083
2,8,0.6249820590019226
2,9,0.5759997367858887
2,10,0.6009560823440552
3,2,0.7407993078231812
3,3,0.8115940093994141
3,4,0.8116452097892761
3,5,0.821648895740509
3,6,0.832935631275177
3,7,0.8449227809906006
3,8,0.6586477160453796
3,9,0.7029104232788086
3,10,0.7044031620025635
4,2,0.7646853923797607
4,3,0.8447362780570984
4,4,0.8447107672691345
4,5,0.8714247941970825
4,6,0.6964713335037231
4,7,0.6563524603843689
4,8,0.646675169467926
4,9,0.57949298620224
4,10,0.5766513347625732
5,2,0.910123348236084
5,3,0.9241870045661926
5,4,0.935315728187561
5,5,0.9190108180046082
5,6,0.5384007692337036
5,7,0.5012563467025757
5,8,0.5142804980278015
5,9,0.4862690567970276
5,10,0.4982200860977173
6,2,0.6543798446655273
6,3,0.6263296604156494
6,4,0.6856818199157715
6,5,0.6796455383300781
6,6,0.6208924651145935
6,7,0.6205998659133911
6,8,0.6128687858581543
6,9,0.5898763537406921
6,10,0.6001819372177124
7,2,0.8215455412864685
7,3,0.6767851114273071
7,4,0.7018090486526489
7,5,0.7124440670013428
7,6,0.6817479133605957
7,7,0.717127799987793
7,8,0.7085184454917908
7,9,0.724770724773407
7,10,0.7141329646110535
8,2,0.5952578186988831
8,3,0.7512173652648926
8,4,0.8513824343681335
8,5,0.8732091784477234
8,6,0.8400493264198303
8,7,0.7248403429985046
8,8,0.6877527236938477
8,9,0.6670757532119751
8,10,0.6457139849662781
9,2,0.9061760902404785
9,3,0.8480923175811768
9,4,0.8455460071563721
9,5,0.5465677976608276
9,6,0.5545015335083008
9,7,0.5326986908912659
9,8,0.5308206081390381
9,9,0.5389128923416138
9,10,0.516227126121521
10,2,0.7538542747497559
10,3,0.9032254815101624
10,4,0.9030882716178894
10,5,0.8249170780181885
10,6,0.7604631185531616
10,7,0.7312914133071899
10,8,0.6557720899581909
10,9,0.6269726753234863
10,10,0.6402196884155273
11,2,0.820315420627594
11,3,0.8051038980484009
11,4,0.8647475242614746
11,5,0.9027577042579651
11,6,0.8988406658172607
11,7,0.8921639919281006
11,8,0.6477653980255127
11,9,0.6311742067337036
11,10,0.614712655544281
12,2,0.828072726726532
12,3,0.7722439169883728
12,4,0.7971240878105164
12,5,0.8000172972679138
12,6,0.7705114483833313
12,7,0.5291019678115845
12,8,0.5423712730407715
12,9,0.5514947772026062
12,10,0.5454615354537964
13,2,0.611946165561676
13,3,0.7325513362884521
13,4,0.680244505405426
13,5,0.68318110704422
13,6,0.7170893549919128
13,7,0.6654654741287231
13,8,0.6629084348678589
13,9,0.671264111995697
13,10,0.6527371406555176
14,2,0.6662648916244507
14,3,0.7722325325012207
14,4,0.7541694641113281
14,5,0.7722758054733276
14,6,0.8017165660858154
14,7,0.6190481185913086
14,8,0.6317623257637024
14,9,0.6162354946136475
14,10,0.6289488673210144
15,2,0.8424274325370789
15,3,0.7288281917572021
15,4,0.7744128108024597
15,5,0.7922022342681885
15,6,0.8424461483955383
15,7,0.6959100365638733
15,8,0.7077558636665344
15,9,0.6926783919334412
15,10,0.6751121878623962
16,2,0.8882516622543335
16,3,0.8538035154342651
16,4,0.851462721824646
16,5,0.8741257190704346
16,6,0.6262087821960449
16,7,0.6217742562294006
16,8,0.5859777927398682
16,9,0.5317607522010803
16,10,0.5387212634086609
17,2,0.6525344252586365
17,3,0.8089660406112671
17,4,0.8780848383903503
17,5,0.900574266910553
17,6,0.8880280256271362
17,7,0.6149444580078125
17,8,0.6372798681259155
17,9,0.6021403670310974
17,10,0.5851532816886902
18,2,0.672410786151886
18,3,0.7681669592857361
18,4,0.7947948575019836
18,5,0.796269416809082
18,6,0.8281594514846802
18,7,0.6215204000473022
18,8,0.6091124415397644
18,9,0.6081948280334473
18,10,0.5977597236633301
19,2,0.7158911824226379
19,3,0.8131603002548218
19,4,0.7902072668075562
19,5,0.7621481418609619
19,6,0.7814409136772156
19,7,0.5765022039413452
19,8,0.4683082401752472
19,9,0.4701940715312958
19,10,0.47550123929977417
20,2,0.6627470254898071
20,3,0.7896337509155273
20,4,0.7967966794967651
20,5,0.7918838858604431
20,6,0.7615793347358704
20,7,0.7762373089790344
20,8,0.5740786194801331
20,9,0.5659963488578796
20,10,0.5603296756744385
21,2,0.8082228302955627
21,3,0.8152033686637878
21,4,0.7662960886955261
21,5,0.8121273517608643
21,6,0.8240633010864258
21,7,0.68985515832901
21,8,0.6529115438461304
21,9,0.6401824355125427
21,10,0.6156973242759705
22,2,0.7887628078460693
22,3,0.7714923024177551
22,4,0.8493378162384033
22,5,0.8012788891792297
22,6,0.8299757838249207
22,7,0.673793375492096
22,8,0.6669864058494568
22,9,0.6088008880615234
22,10,0.6111971735954285
23,2,0.9055129289627075
23,3,0.9297525882720947
23,4,0.9180635213851929
23,5,0.6086743474006653
23,6,0.6035521030426025
23,7,0.5911078453063965
23,8,0.5818720459938049
23,9,0.5653182864189148
23,10,0.5826541185379028
24,2,0.8000320792198181
24,3,0.7600157856941223
24,4,0.7673779129981995
24,5,0.582145094871521
24,6,0.634732723236084
24,7,0.6448025107383728
24,8,0.6196560859680176
24,9,0.6289125084877014
24,10,0.6126088500022888
