chain,best_n_clusters,best_silhouette_score,best_Tg
0,2,0.823658287525177,380.0
1,4,0.7282202839851379,294.5
2,3,0.8597817420959473,411.5
3,7,0.8449227809906006,340.0
4,5,0.8714247941970825,371.0
5,4,0.935315728187561,392.0
6,4,0.6856818199157715,332.0
7,2,0.8215455412864685,
8,5,0.8732091784477234,320.0
9,2,0.9061760902404785,380.0
10,3,0.9032254815101624,340.0
11,5,0.9027577042579651,340.0
12,2,0.828072726726532,341.5
13,3,0.7325513362884521,380.0
14,6,0.8017165660858154,340.0
15,6,0.8424461483955383,330.5
16,2,0.8882516622543335,380.0
17,5,0.900574266910553,365.0
18,6,0.8281594514846802,336.0
19,3,0.8131603002548218,240.5
20,4,0.7967966794967651,330.5
21,6,0.8240633010864258,330.5
22,4,0.8493378162384033,330.0
23,3,0.9297525882720947,388.5
24,2,0.8000320792198181,470.0
