chain,n_clusters,silhouette_score
0,2,0.8151325583457947
0,3,0.8462439179420471
0,4,0.9047936797142029
0,5,0.558500349521637
0,6,0.5581262111663818
0,7,0.5301692485809326
0,8,0.49843940138816833
0,9,0.4962801933288574
0,10,0.5047770738601685
1,2,0.7423128485679626
1,3,0.7802640795707703
1,4,0.8412777185440063
1,5,0.9313392043113708
1,6,0.871280312538147
1,7,0.846217691898346
1,8,0.7193660140037537
1,9,0.7063514590263367
1,10,0.6949107050895691
2,2,0.9069587588310242
2,3,0.953219473361969
2,4,0.6669203639030457
2,5,0.6262326240539551
2,6,0.5672847032546997
2,7,0.5943549871444702
2,8,0.5550499558448792
2,9,0.5592892169952393
2,10,0.53068608045578
3,2,0.6855565905570984
3,3,0.7901455163955688
3,4,0.8103052973747253
3,5,0.5700671076774597
3,6,0.5289995670318604
3,7,0.5202248692512512
3,8,0.5182782411575317
3,9,0.5029441118240356
3,10,0.4821809232234955
4,2,0.734947144985199
4,3,0.9070467948913574
4,4,0.7262961268424988
4,5,0.8015892505645752
4,6,0.7681173086166382
4,7,0.7136521935462952
4,8,0.7369250655174255
4,9,0.7096490263938904
4,10,0.6588547825813293
5,2,0.7327954173088074
5,3,0.8221635818481445
5,4,0.8749645352363586
5,5,0.880605161190033
5,6,0.87660813331604
5,7,0.5932804942131042
5,8,0.5966586470603943
5,9,0.5886370539665222
5,10,0.5619683861732483
6,2,0.8627426028251648
6,3,0.848011314868927
6,4,0.7577739357948303
6,5,0.8136534690856934
6,6,0.7517467737197876
6,7,0.7311729192733765
6,8,0.7264009714126587
6,9,0.709482729434967
6,10,0.6575767397880554
7,2,0.8312634825706482
7,3,0.8200434446334839
7,4,0.8643099069595337
7,5,0.9496384859085083
7,6,0.9280978441238403
7,7,0.6753914952278137
7,8,0.6330235600471497
7,9,0.6429197192192078
7,10,0.6336870789527893
8,2,0.938506543636322
8,3,0.8014811873435974
8,4,0.8870174288749695
8,5,0.590644896030426
8,6,0.5792381763458252
8,7,0.5886405110359192
8,8,0.5363404154777527
8,9,0.5397962331771851
8,10,0.5829508900642395
9,2,0.7904438376426697
9,3,0.8754473328590393
9,4,0.6661369800567627
9,5,0.5707200169563293
9,6,0.54130619764328
9,7,0.5192577838897705
9,8,0.5359607338905334
9,9,0.5585970282554626
9,10,0.5433146357536316
10,2,0.7811911106109619
10,3,0.6838985085487366
10,4,0.6738317012786865
10,5,0.6438573598861694
10,6,0.67721027135849
10,7,0.6768963932991028
10,8,0.6260653138160706
10,9,0.6188902854919434
10,10,0.6049729585647583
11,2,0.6608911156654358
11,3,0.7712972164154053
11,4,0.7385661602020264
11,5,0.7798743844032288
11,6,0.7996361255645752
11,7,0.801835834980011
11,8,0.7328410148620605
11,9,0.7456473708152771
11,10,0.7195373773574829
12,2,0.8138234615325928
12,3,0.8563920855522156
12,4,0.8201841711997986
12,5,0.807404100894928
12,6,0.8155660033226013
12,7,0.5021640658378601
12,8,0.5039179921150208
12,9,0.5200555920600891
12,10,0.5265154242515564
13,2,0.8979589939117432
13,3,0.7561836242675781
13,4,0.7231388688087463
13,5,0.7410129904747009
13,6,0.6942874193191528
13,7,0.6802002787590027
13,8,0.6109265685081482
13,9,0.6272841095924377
13,10,0.6398190259933472
14,2,0.4195031523704529
14,3,0.35604462027549744
14,4,0.3402605950832367
14,5,0.34647199511528015
14,6,0.33497002720832825
14,7,0.3333348333835602
14,8,0.33329838514328003
14,9,0.32916560769081116
14,10,0.3281584680080414
15,2,0.7372640371322632
15,3,0.7786552906036377
15,4,0.8258408904075623
15,5,0.8318262100219727
15,6,0.704886257648468
15,7,0.7009625434875488
15,8,0.6711985468864441
15,9,0.6540189385414124
15,10,0.6262532472610474
16,2,0.9338098764419556
16,3,0.9186739325523376
16,4,0.571480929851532
16,5,0.570057213306427
16,6,0.5626022815704346
16,7,0.5701644420623779
16,8,0.5101037621498108
16,9,0.49686944484710693
16,10,0.505286455154419
17,2,0.827448308467865
17,3,0.8348743319511414
17,4,0.8543872833251953
17,5,0.8637750148773193
17,6,0.8864673972129822
17,7,0.5943092703819275
17,8,0.606664776802063
17,9,0.6418583989143372
17,10,0.6238024234771729
18,2,0.9790087938308716
18,3,0.7241291403770447
18,4,0.5694290399551392
18,5,0.4979795813560486
18,6,0.5156658887863159
18,7,0.42386823892593384
18,8,0.42115435004234314
18,9,0.39873018860816956
18,10,0.38280004262924194
19,2,0.9235678315162659
19,3,0.8595591187477112
19,4,0.8937597274780273
19,5,0.9234855771064758
19,6,0.5199002623558044
19,7,0.5996500253677368
19,8,0.5591925978660583
19,9,0.5631287693977356
19,10,0.5345919132232666
20,2,0.9060398936271667
20,3,0.950272798538208
20,4,0.9522606730461121
20,5,0.9009425640106201
20,6,0.5328444242477417
20,7,0.5438600182533264
20,8,0.5842298865318298
20,9,0.5934107899665833
20,10,0.6029787659645081
21,2,0.7444024682044983
21,3,0.8570864200592041
21,4,0.6851341724395752
21,5,0.6228752732276917
21,6,0.6468411087989807
21,7,0.6541538834571838
21,8,0.6295959949493408
21,9,0.6132339835166931
21,10,0.6076036691665649
22,2,0.9604744911193848
22,3,0.8979018926620483
22,4,0.6032631397247314
22,5,0.6039785146713257
22,6,0.5321066379547119
22,7,0.5318771004676819
22,8,0.5240546464920044
22,9,0.5019433498382568
22,10,0.4979521632194519
23,2,0.9374825358390808
23,3,0.9322230219841003
23,4,0.9716609120368958
23,5,0.6343619227409363
23,6,0.57586669921875
23,7,0.5908999443054199
23,8,0.5989155769348145
23,9,0.606713593006134
23,10,0.5769836902618408
