chain,best_n_clusters,best_silhouette_score,best_Tg
0,4,0.9047936797142029,260.5
1,5,0.9313392043113708,332.0
2,3,0.953219473361969,470.5
3,4,0.8103052973747253,420.0
4,3,0.9070467948913574,330.5
5,5,0.880605161190033,400.0
6,2,0.8627426028251648,
7,5,0.9496384859085083,264.0
8,2,0.938506543636322,430.0
9,3,0.8754473328590393,454.5
10,2,0.7811911106109619,470.0
11,7,0.801835834980011,290.0
12,3,0.8563920855522156,401.5
13,2,0.8979589939117432,470.0
14,2,0.4195031523704529,
15,5,0.8318262100219727,281.5
16,2,0.9338098764419556,470.0
17,6,0.8864673972129822,291.0
18,2,0.9790087938308716,499.0
19,2,0.9235678315162659,481.5
20,4,0.9522606730461121,419.0
21,3,0.8570864200592041,418.5
22,2,0.9604744911193848,460.0
23,4,0.9716609120368958,480.0
24,4,0.7015599608421326,260.5
