UMAP1,UMAP2,temp
13.0073805,6.19271,250.0
12.581208,7.509523,250.5
15.104344,4.823622,251.0
13.643672,6.7327075,251.5
13.372805,6.3363853,252.0
13.828913,7.076911,252.5
13.352532,6.1007,253.0
12.879278,7.463546,253.5
12.443582,7.335715,254.0
15.147733,5.0436153,254.5
13.566447,6.8350058,255.0
13.70607,5.86916,255.5
15.396915,4.964121,256.0
14.802568,5.501416,256.5
13.198671,5.947852,257.0
14.193721,5.152785,257.5
12.940689,5.9852777,258.0
14.657793,5.4009156,258.5
13.175127,6.4793444,259.0
13.048601,7.070444,259.5
13.508449,6.530748,260.0
13.086625,6.03519,260.5
12.598527,7.2679396,261.0
14.610887,5.07082,261.5
12.709828,7.5348587,262.0
13.891539,6.8170204,262.5
14.263116,4.9051685,263.0
12.931133,6.2491217,263.5
14.961568,4.8836613,264.0
12.851073,6.0146465,264.5
13.081184,6.6941004,265.0
14.951891,4.9597683,265.5
14.708465,5.786022,266.0
12.736742,7.216276,266.5
12.463166,7.5342684,267.0
12.782617,6.0785303,267.5
12.781125,5.795104,268.0
12.842983,6.113238,268.5
13.659258,6.3511696,269.0
15.263195,4.82842,269.5
13.099897,6.095844,270.0
15.325326,4.9879537,270.5
12.928826,6.2989902,271.0
13.218915,6.00111,271.5
13.606061,6.464466,272.0
15.410261,5.2045527,272.5
13.531695,6.486435,273.0
12.531412,7.4001217,273.5
15.085089,5.0349717,274.0
12.676148,7.16943,274.5
13.797226,6.7678742,275.0
13.457585,5.968354,275.5
15.250384,4.6227236,276.0
14.134633,5.7645926,276.5
12.557117,7.4399443,277.0
14.500839,5.5768166,277.5
13.575105,6.708316,278.0
12.886491,7.4195466,278.5
12.863342,6.1839786,279.0
14.032761,6.575684,279.5
14.631499,5.9825816,280.0
13.729433,6.530304,280.5
15.205071,5.332111,281.0
-4.4222918,-5.1479278,281.5
-4.2740083,-5.156008,282.0
-4.2625666,-4.287712,282.5
-4.2399144,-4.5401406,283.0
-4.711731,-4.1421504,283.5
-4.246564,-4.3588114,284.0
-4.8348703,-4.813079,284.5
-4.089114,-4.7441216,285.0
-4.4248986,-5.2540092,285.5
-4.763001,-5.4931073,286.0
-4.674246,-4.1533794,286.5
-4.380542,-4.589356,287.0
-4.3620443,-4.5850635,287.5
-3.837616,-4.8156304,288.0
-3.918789,-5.549296,288.5
-4.9432726,-5.0004654,289.0
-4.1867175,-5.4812226,289.5
-4.226632,-5.499863,290.0
-4.401841,-4.726444,290.5
-4.3424253,-5.2807555,291.0
-4.980893,-5.137156,291.5
-4.9236207,-5.2759686,292.0
-4.3619432,-5.612378,292.5
-4.433648,-4.171932,293.0
-4.0760694,-5.56646,293.5
-4.438695,-5.001514,294.0
-4.3101854,-5.3732796,294.5
-4.4693108,-4.99432,295.0
-3.7054641,-5.4085083,295.5
-4.9372525,-4.513679,296.0
-4.1052146,-5.0674977,296.5
-5.0908003,-4.7329803,297.0
-4.411849,-4.339649,297.5
-4.6725225,-4.6141496,298.0
-4.0036,-4.961149,298.5
-5.0587454,-5.259943,299.0
-4.286001,-5.573979,299.5
-4.8985972,-4.89115,300.0
-4.7291775,-4.8353944,300.5
-4.1346335,-5.127216,301.0
-4.4118285,-4.398361,301.5
-4.643131,-4.98134,302.0
-4.441414,-5.2176714,302.5
-4.3556795,-4.704465,303.0
