temp,UMAP1,UMAP2,Cluster,Grid_X,Grid_Y,State
250.0,-1.9306948,-4.3688874,5,-1,-1,rubbery
250.5,-2.1129632,-4.485123,5,-1,-1,rubbery
251.0,-1.8356626,-4.0920463,5,-1,-1,rubbery
251.5,-1.9385309,-4.616553,5,-1,-1,rubbery
252.0,-1.8845177,-4.1274557,5,-1,-1,rubbery
252.5,-1.9195492,-4.6129417,5,-1,-1,rubbery
253.0,-2.3404353,-4.341816,5,-1,-1,rubbery
253.5,-1.87502,-4.5166135,5,-1,-1,rubbery
254.0,-2.2459395,-4.2062116,5,-1,-1,rubbery
254.5,-1.8196678,-4.0162687,5,-1,-1,rubbery
255.0,-1.9353262,-4.668983,5,-1,-1,rubbery
255.5,-2.2284544,-4.4490995,5,-1,-1,rubbery
256.0,-1.7214457,-4.110728,5,-1,-1,rubbery
256.5,-1.9132203,-4.7236247,5,-1,-1,rubbery
257.0,-2.42279,-4.3457203,5,-1,-1,rubbery
257.5,-6.501937,-2.0905674,3,-1,-1,rubbery
258.0,-6.152937,-1.8715842,3,-1,-1,rubbery
258.5,-6.6065497,-1.8093008,3,-1,-1,rubbery
259.0,-6.093998,-1.3943839,3,-1,-1,rubbery
259.5,-6.417322,-2.1989977,3,-1,-1,rubbery
260.0,-2.076965,-4.683547,5,-1,-1,rubbery
260.5,-1.9987937,-4.518652,5,-1,-1,rubbery
261.0,-1.8331982,-4.3182106,5,-1,-1,rubbery
261.5,-1.6806089,-4.3111773,5,-1,-1,rubbery
262.0,-1.9160345,-4.19719,5,-1,-1,rubbery
262.5,-2.3952663,-4.4354577,5,-1,-1,rubbery
263.0,-1.7793496,-4.154451,5,-1,-1,rubbery
263.5,-2.0066547,-4.432904,5,-1,-1,rubbery
264.0,-1.7532666,-4.2346406,5,-1,-1,rubbery
264.5,-2.4186735,-4.4252133,5,-1,-1,rubbery
265.0,-2.0112474,-4.1897373,5,-1,-1,rubbery
265.5,-1.9150183,-4.0030622,5,-1,-1,rubbery
266.0,-1.7316393,-4.4291844,5,-1,-1,rubbery
266.5,-1.562583,-4.45207,5,-1,-1,rubbery
267.0,-5.796314,-1.9964118,3,-1,-1,rubbery
267.5,-6.317786,-1.369291,3,-1,-1,rubbery
268.0,-5.9759836,-1.8930948,3,-1,-1,rubbery
268.5,-6.1047177,-1.1791555,3,-1,-1,rubbery
269.0,-6.291869,-1.6959769,3,-1,-1,rubbery
269.5,-6.0291343,-2.2430243,3,-1,-1,rubbery
270.0,-6.012363,-1.3622893,3,-1,-1,rubbery
270.5,-6.30055,-2.1867445,3,-1,-1,rubbery
271.0,-6.2655044,-1.692907,3,-1,-1,rubbery
271.5,-5.966354,-2.5677557,3,-1,-1,rubbery
272.0,-5.512067,-1.9083946,3,-1,-1,rubbery
